Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Constructor_Position,Team,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing,Season,Round
ALB,92.874,90.458,91.679,,33.208212121,44.06125,25.067777777,101.444787878,16.0,SOFT,,2.0,9.0,8.0,Toro Rosso,0.0,1.0,12.0,12.0,,9.0,2019,2
BOT,91.328,89.557,90.389,,33.396212121,43.788583333,25.884805555,102.074848484,17.0,SOFT,,18.0,2.0,1.0,Mercedes,0.0,0.0,1.5,1.5,88.256,2.0,2019,2
GAS,91.815,90.429,91.392,,33.608714285,45.418645161,25.228612903,103.557071428,9.0,MEDIUM,,4.0,8.0,3.0,Red Bull Racing,0.0,0.5,7.0,7.0,,8.0,2019,2
GIO,92.949,91.144,92.132,,39.277375,44.9462,28.3904,112.506125,5.0,SOFT,,0.0,11.0,6.0,Alfa Romeo Racing,0.0,1.0,11.5,11.5,,11.0,2019,2
GRO,92.994,90.068,90.818,,32.327935483,44.280794117,25.345029411,101.643096774,15.0,SOFT,,0.0,20.0,4.0,Haas F1 Team,1.0,0.5,12.0,12.0,89.015,20.0,2019,2
HAM,91.601,89.449,90.334,,34.1199,44.289727272,25.088545454,102.8249,13.0,MEDIUM,,25.0,1.0,1.0,Mercedes,0.0,0.0,1.5,1.5,88.19,1.0,2019,2
HUL,92.04,89.669,90.91,,32.091137931,43.24184375,24.715875,99.485275862,15.0,MEDIUM,,0.0,17.0,5.0,Renault,1.0,1.0,13.0,13.0,,17.0,2019,2
KUB,94.253,92.932,93.525,,33.55867647,44.361918918,25.527324324,102.968882352,14.0,SOFT,,0.0,16.0,10.0,Williams,1.0,1.0,16.5,16.5,,16.0,2019,2
KVY,92.339,90.093,91.173,,32.923666666,43.749555555,25.363444444,101.188575757,13.0,MEDIUM,,0.0,12.0,8.0,Toro Rosso,1.0,1.0,12.0,12.0,,12.0,2019,2
LEC,90.354,88.881,89.569,,35.802571428,43.30828125,25.1145625,101.542555555,13.0,SOFT,,16.0,3.0,2.0,Ferrari,0.0,0.0,4.5,4.5,87.866,3.0,2019,2
MAG,92.602,90.0,91.54,,32.985133333,45.144757575,25.180121212,101.288448275,11.0,MEDIUM,,0.0,13.0,4.0,Haas F1 Team,1.0,0.5,12.0,12.0,88.757,13.0,2019,2
NOR,92.945,90.017,90.955,,34.739727272,45.0812,27.3844,105.169227272,8.0,SOFT,,8.0,6.0,9.0,McLaren,0.0,1.0,16.0,16.0,89.043,6.0,2019,2
PER,92.885,90.716,91.638,,32.246275862,43.5940625,25.73721875,101.268793103,10.0,MEDIUM,,1.0,10.0,7.0,Racing Point,0.0,1.0,11.0,11.0,,10.0,2019,2
RAI,92.385,91.088,91.333,,32.0316,43.960666666,28.174666666,104.5982,6.0,MEDIUM,,6.0,7.0,6.0,Alfa Romeo Racing,0.0,1.0,11.5,11.5,89.022,7.0,2019,2
RIC,92.401,90.848,91.643,,33.899481481,45.2837,25.598766666,103.902851851,15.0,SOFT,,0.0,18.0,5.0,Renault,1.0,1.0,13.0,13.0,,18.0,2019,2
RUS,94.188,91.904,93.387,,33.697448275,44.6048125,26.09853125,103.607517241,12.0,SOFT,,0.0,15.0,10.0,Williams,1.0,1.0,16.5,16.5,,15.0,2019,2
SAI,91.952,90.192,90.965,,34.5263,44.189121212,25.673484848,102.882833333,11.0,SOFT,,0.0,19.0,9.0,McLaren,1.0,1.0,16.0,16.0,88.813,19.0,2019,2
STR,93.518,91.129,91.618,,32.559392857,44.01848387,25.605967741,102.282821428,9.0,MEDIUM,,0.0,14.0,7.0,Racing Point,1.0,1.0,11.0,11.0,,14.0,2019,2
VER,91.673,89.725,90.959,,32.741838709,45.053205882,24.582764705,100.947032258,12.0,MEDIUM,,12.0,4.0,3.0,Red Bull Racing,0.0,0.5,7.0,7.0,88.752,4.0,2019,2
VET,90.617,88.846,89.738,,37.119321428,43.54015625,25.75665625,103.994185185,12.0,MEDIUM,,10.0,5.0,2.0,Ferrari,0.0,0.0,4.5,4.5,88.16,5.0,2019,2
ALB,95.695,94.634,94.6,98.983857142,28.162117647,31.456297297,45.914378378,104.368058823,16.0,SOFT,,2.0,10.0,9.0,Toro Rosso,1.0,0.75,11.25,11.25,,10.0,2019,3
BOT,94.653,93.33,92.83,98.992705882,29.192588235,31.693081081,46.955729729,106.656088235,14.0,HARD,,36.0,2.0,1.0,Mercedes,0.0,0.0,1.5,1.5,91.547,2.0,2019,3
GAS,95.428,94.455,95.326,99.144428571,28.286689655,32.28690625,46.19515625,106.203620689,10.0,MEDIUM,,18.0,6.0,3.0,Red Bull Racing,0.0,0.25,6.5,6.5,92.93,6.0,2019,3
GRO,95.507,95.704,95.771,99.3976,27.690103448,31.05765625,46.26021875,104.672931034,12.0,MEDIUM,,0.0,11.0,6.0,Haas F1 Team,1.0,0.75,14.25,14.25,,11.0,2019,3
HAM,94.118,94.037,93.689,99.034142857,28.890655172,31.26975,45.86171875,105.433172413,13.0,MEDIUM,,50.0,1.0,1.0,Mercedes,0.0,0.0,1.5,1.5,91.57,1.0,2019,3
HUL,95.591,94.096,93.974,99.134857142,27.334071428,30.867741935,45.823354838,103.313571428,11.0,HARD,,0.0,20.0,7.0,Renault,1.0,1.0,15.25,15.25,92.962,20.0,2019,3
