index,Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Team,Constructor_Position,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing,Season,Round
0,ALB,79.443,,77.759,,,,,,,,,0.0,13.0,Williams,10,,,,,,,2024,3
1,ALO,79.716,77.912,76.997,,32.56316129,19.640903225,40.505857142,92.425178571,15.0,MEDIUM,,12.0,7.0,Aston Martin,5,,,,,,,2024,3
2,BOT,80.014,78.585,77.752,,32.670129032,19.90553125,39.996862068,92.629,16.0,MEDIUM,,0.0,18.0,Kick Sauber,8,,,,,,,2024,3
3,GAS,79.622,78.691,78.39,79.4376,34.00090909,20.059818181,39.927133333,91.728965517,11.0,MEDIUM,,0.0,19.0,Alpine,7,,,,,,,2024,3
4,HAM,78.771,78.834,76.806,,35.56447826,22.661608695,44.646263157,101.17,9.0,MEDIUM,,8.0,8.0,Mercedes,4,,,,,,,2024,3
5,HUL,79.604,78.702,77.941,,33.696111111,20.535857142,40.70396,93.709416666,12.0,MEDIUM,,1.0,13.0,Haas F1 Team,6,,,,,,,2024,3
6,LEC,78.599,77.277,76.714,,35.999461538,21.6285,41.357956521,98.340521739,11.0,MEDIUM,,28.0,3.5,Ferrari,2,,,,,,,2024,3
7,MAG,79.489,79.275,77.961,,33.733774193,20.870903225,40.388928571,94.763714285,16.0,MEDIUM,,0.0,12.0,Haas F1 Team,6,,,,,,,2024,3
8,NOR,78.564,78.155,77.49,,33.393217391,20.22047826,40.158263157,92.962315789,11.0,MEDIUM,,12.0,7.0,McLaren,3,,,,,,,2024,3
9,OCO,79.561,78.705,77.92,,33.99565625,20.702,39.977517241,92.434321428,14.0,MEDIUM,,0.0,15.0,Alpine,7,,,,,,,2024,3
10,PER,78.642,78.09,77.014,,33.473875,21.51690909,41.0817,94.332071428,12.0,MEDIUM,,36.0,2.0,Red Bull Racing,1,,,,,,,2024,3
11,PIA,78.918,78.077,77.087,,31.718586206,19.295241379,40.07626923,88.33448,14.0,MEDIUM,,16.0,6.0,McLaren,3,,,,,,,2024,3
12,RIC,79.274,78.534,77.963,,34.990033333,21.262933333,40.270423076,95.560884615,10.0,MEDIUM,,0.0,14.5,RB,9,,,,,,,2024,3
13,RUS,78.597,77.951,76.886,,35.102333333,21.231708333,40.498047619,95.48947619,10.0,MEDIUM,,18.0,5.5,Mercedes,4,,,,,,,2024,3
14,SAI,78.686,77.707,76.791,,36.87912,21.98192,41.378681818,98.941772727,12.0,MEDIUM,,15.0,3.0,Ferrari,2,,,,,,,2024,3
15,SAR,79.519,78.578,,,34.165391304,20.433695652,40.00365,94.97955,7.0,SOFT,,0.0,17.0,Williams,10,,,,,,,2024,3
16,STR,78.667,77.822,77.341,,33.420689655,20.677,41.323076923,92.54196,13.0,MEDIUM,,1.0,14.5,Aston Martin,5,,,,,,,2024,3
17,TSU,78.621,78.188,77.673,,35.46837037,22.211111111,42.623458333,98.027913043,12.0,MEDIUM,,0.0,14.5,RB,9,,,,,,,2024,3
18,VER,78.582,77.658,76.734,,33.403,21.122142857,42.660333333,97.319166666,8.0,MEDIUM,,51.0,1.0,Red Bull Racing,1,,,,,,,2024,3
19,ZHO,79.989,78.421,77.876,,34.173375,20.09846875,42.300034482,96.508068965,15.0,MEDIUM,,0.0,14.5,Kick Sauber,8,,,,,,,2024,3
