Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Constructor_Position,Team,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing
ALB,83.13,81.847,81.664,83.829,36.65003125,20.8983125,42.942392857,100.398928571,11,HARD,,,,,,,,,,,12.0
ANT,81.376,79.943,80.324,84.178,36.042935483,19.78816129,41.798555555,95.665076923,15,HARD,,,,,,,,,,78.811,2.0
BEA,82.682,81.326,80.778,,39.039838709,20.835774193,41.873785714,102.07275,15,HARD,,,,,,,,,,,7.0
BOR,81.696,81.668,80.459,,39.209964285,20.777285714,46.70892,99.549181818,9,MEDIUM,,,,,,,,,,,9.0
BOT,84.022,83.66,83.514,,37.285821428,20.556821428,43.6046,101.50036,15,MEDIUM,,,,,,,,,,,19.0
COL,83.325,82.619,81.413,,38.297846153,22.258222222,45.171583333,101.418318181,11,MEDIUM,,,,,,,,,,,14.0
GAS,84.035,82.167,81.071,83.2308,37.261133333,22.742125,41.458428571,99.050307692,11,MEDIUM,,,,,,,,,,,10.0
HAD,81.087,80.941,80.137,84.538333333,36.938357142,23.917321428,42.749958333,99.028217391,13,MEDIUM,,,,,,,,,,79.303,20.0
HAM,80.736,80.05,79.669,82.7361,36.481677419,21.75396875,43.648655172,99.92,13,HARD,,,,,,,,,,79.478,4.0
HUL,81.969,81.351,81.067,,34.139484848,20.528764705,41.426838709,93.962482758,10,MEDIUM,,,,,,,,,,,22.0
LAW,82.613,81.358,80.89,,35.426965517,21.766172413,41.59772,97.6478,14,MEDIUM,,,,,,,,,,79.994,13.0
LEC,80.267,80.291,79.827,,37.004633333,20.809666666,45.400444444,99.48636,10,HARD,,,,,,,,,,79.327,3.0
LIN,81.313,80.922,80.838,,39.199866666,20.971933333,43.092518518,101.070296296,15,SOFT,,,,,,,,,,81.247,8.0
NOR,84.391,80.794,80.443,83.130428571,33.216285714,20.360862068,42.638692307,92.236041666,16,SOFT,,,,,,,,,,79.475,5.0
OCO,82.161,81.179,80.983,,39.771344827,20.526620689,45.612115384,102.046375,10,HARD,,,,,,,,,,,11.0
PER,84.62,,84.397,,40.0335,21.311,53.61,118.806,2,SOFT,,,,,,,,,,,16.0
PIA,81.342,79.729,80.087,84.8484,36.638115384,20.288807692,43.384,96.971181818,10,HARD,,,,,,,,,,79.38,21.0
RUS,81.371,80.049,79.053,83.713818181,38.616071428,20.045714285,42.000041666,101.140833333,13,HARD,,,,,,,,,,78.518,1.0
SAI,82.323,82.253,,,35.224,21.1421,44.954666666,102.363111111,7,MEDIUM,,,,,,,,,,,15.0
VER,80.789,80.366,80.197,,37.872230769,19.745,41.107,93.8623,5,MEDIUM,,,,,,,,,,,6.0
