Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,7.5,,0.0,90.747,89.789,89.808,40.80856,32.862785714,32.560607142,104.114416666,88.98,12.0,11.0,0.0,0.0
ALO,Aston Martin,5.5,,3.0,89.845,88.827,89.038,39.38184,32.022678571,33.254642857,104.18116,87.846,4.0,5.0,2.0,3.0
BOT,Cadillac,9.5,,,90.783,90.153,90.083,42.148833333,34.551518518,34.67374074,109.320217391,89.179,16.0,17.0,0.0,
GAS,Alpine,9.0,,0.0,91.046,89.528,89.546,40.074692307,33.376931034,33.494862068,107.005538461,89.479,18.0,20.0,0.0,0.0
HAM,Ferrari,6.5,,27.0,90.236,89.504,89.268,41.335555555,38.300545454,35.171181818,104.145642857,88.46,8.0,9.0,6.0,27.0
HUL,Audi,8.0,,,91.411,90.077,89.675,40.258782608,33.298846153,34.457115384,102.33647619,89.055,15.0,10.0,0.0,
LEC,Ferrari,8.0,,27.0,90.03,89.18,88.608,41.619772727,33.6986,35.22092,102.049105263,87.791,2.0,3.0,12.0,27.0
MAG,,6.0,,,91.577,89.985,89.485,39.486904761,33.852625,35.024041666,101.785263157,89.02,13.0,12.0,0.0,0.0
NOR,McLaren,7.0,,12.0,90.231,89.758,88.971,40.355526315,34.110347826,34.605086956,106.680555555,88.132,6.0,8.0,8.0,12.0
OCO,Haas F1 Team,8.5,,0.0,90.945,89.901,89.575,40.779208333,33.909,34.097666666,108.788541666,89.475,17.0,13.0,0.0,0.0
PER,Cadillac,10.0,,,89.868,89.3,88.906,39.344916666,31.703555555,33.129592592,101.264956521,87.807,3.0,2.0,18.0,
PIA,McLaren,6.0,,12.0,90.977,89.594,89.213,40.024130434,32.16337037,32.473814814,104.57347826,88.089,5.0,4.0,4.0,12.0
RIC,,6.5,,,90.917,90.088,89.74,39.933961538,35.291896551,35.30037931,106.97775,89.025,14.0,16.0,0.0,0.0
RUS,Mercedes,7.5,,16.0,89.939,89.057,88.964,43.087380952,35.801583333,35.515625,107.574111111,88.316,7.0,6.0,10.0,16.0
SAI,Williams,9.0,,0.0,90.164,89.455,,43.174217391,37.708230769,35.613653846,110.6379,,,,15.0,0.0
SAR,,10.0,,,90.966,89.934,,41.207625,34.149592592,35.021592592,103.269095238,89.526,19.0,14.0,0.0,0.0
STR,Aston Martin,5.5,,3.0,90.58,89.336,89.127,40.677333333,33.031333333,34.624259259,105.094173913,88.572,10.0,19.0,1.0,3.0
TSU,,7.0,,,91.036,89.666,89.572,41.09644,33.551857142,34.754642857,103.724304347,88.547,9.0,15.0,0.0,0.0
VER,Red Bull Racing,13.5,,44.0,89.659,89.158,88.412,41.925083333,33.985888888,33.405777777,105.030363636,87.472,1.0,1.0,26.0,44.0
ZHO,,5.5,,,91.131,89.777,90.739,40.744791666,34.645148148,33.434703703,107.469347826,,20.0,18.0,0.0,0.0
