Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Longest_Stint,Qualifying_Time(s),Starting_Pos,rain_probability,Temprature,Tyre_Compound_MEDIUM,Tyre_Compound_SOFT
ALB,93.697,91.496,91.733,42.531230769,48.057666666,21.567,106.666583333,11.0,91.088,17.0,0,14.79,True,False
ANT,91.692,90.225,89.362,47.109173913,45.386107142,21.655821428,103.388473684,10.0,88.778,1.0,0,14.79,True,False
BEA,92.9,91.498,91.558,43.9538,45.669714285,22.014214285,102.40295238,15.0,91.09,18.0,0,14.79,True,False
BOR,92.759,91.933,91.0,53.260666666,48.081545454,24.916545454,119.58525,7.0,90.274,9.0,0,14.79,False,True
BOT,94.49,92.615,92.503,43.9892,47.002678571,21.424035714,109.386375,15.0,92.33,20.0,0,14.79,True,False
COL,93.361,92.438,91.759,43.00628,47.661535714,21.347107142,104.757090909,14.0,90.627,15.0,0,14.79,True,False
GAS,92.978,91.734,91.082,41.00856,46.617310344,21.627517241,106.528666666,13.0,89.691,7.0,0,14.79,False,False
HAD,92.803,91.759,91.094,45.154038461,46.109931034,21.571241379,106.243956521,14.0,89.978,8.0,0,14.79,False,False
HAM,92.04,90.98,90.383,46.753333333,49.164185185,22.05,104.465,9.0,89.567,6.0,0,14.79,True,False
HUL,92.798,91.441,90.658,42.662375,45.554074074,22.005074074,104.905045454,8.0,90.387,13.0,0,14.79,False,False
LAW,92.529,91.59,91.097,42.42,47.320533333,21.645833333,107.318541666,14.0,90.495,14.0,0,14.79,True,False
LEC,91.955,90.846,90.229,43.15096,46.994535714,22.093107142,107.622043478,12.0,89.405,4.0,0,14.79,True,False
LIN,92.665,91.59819999999999,91.288,44.56513223680001,69.262,38.967,106.99239789379999,1.0,90.319,10.0,0,14.79,True,False
NOR,91.798,90.649,90.6,45.334285714,46.78217647,24.024941176,108.705583333,9.0,89.409,5.0,0,14.79,False,True
OCO,92.601,91.532,91.326,43.40737037,46.763433333,21.440466666,104.676208333,15.0,90.309,12.0,0,14.79,True,False
PER,94.221,93.689,92.54,47.314416666,45.573785714,22.538428571,106.5436,9.0,92.206,19.0,0,14.79,False,False
PIA,91.865,90.133,90.364,42.56076923,45.652448275,21.447586206,105.411958333,10.0,89.132,3.0,0,14.79,True,False
RUS,91.666,90.338,89.616,47.3938,45.788275862,22.059,107.931045454,9.0,89.076,2.0,0,14.79,True,False
SAI,93.383,91.608,91.829,42.486538461,46.049066666,20.790466666,105.217166666,12.0,91.033,16.0,0,14.79,False,False
STR,95.294,93.951,93.485,44.378,47.61847619,21.998,114.29,7.0,92.92,22.0,0,14.79,False,True
VER,92.457,91.509,90.91,43.427846153,44.212275862,21.476103448,103.802416666,18.0,90.262,11.0,0,14.79,False,False
