Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Longest_Stint,Qualifying_Time(s),Starting_Pos,Race_Result,Tyre_Compound_HARD,Tyre_Compound_MEDIUM,Tyre_Compound_SOFT
ALB,83.13,81.847,81.664,36.65003125,20.8983125,42.942392857,100.398928571,11.0,80.941,15.0,12.0,1.0,0.0,0.0
ALB,83.13,81.847,81.664,36.65003125,20.8983125,42.942392857,100.398928571,11.0,80.941,15.0,12.0,0.0,1.0,0.0
ALB,83.13,81.847,81.664,36.65003125,20.8983125,42.942392857,100.398928571,11.0,80.941,15.0,12.0,0.0,1.0,0.0
ANT,81.376,79.943,80.324,36.042935483,19.78816129,41.798555555,95.665076923,15.0,78.811,2.0,2.0,1.0,0.0,0.0
ANT,81.376,79.943,80.324,36.042935483,19.78816129,41.798555555,95.665076923,15.0,78.811,2.0,2.0,0.0,1.0,0.0
ANT,81.376,79.943,80.324,36.042935483,19.78816129,41.798555555,95.665076923,15.0,78.811,2.0,2.0,0.0,1.0,0.0
BEA,82.682,81.326,80.778,39.039838709,20.835774193,41.873785714,102.07275,15.0,80.311,12.0,7.0,1.0,0.0,0.0
BEA,82.682,81.326,80.778,39.039838709,20.835774193,41.873785714,102.07275,15.0,80.311,12.0,7.0,0.0,1.0,0.0
BEA,82.682,81.326,80.778,39.039838709,20.835774193,41.873785714,102.07275,15.0,80.311,12.0,7.0,0.0,1.0,0.0
BOR,81.696,81.668,80.459,39.209964285,20.777285714,46.70892,99.549181818,9.0,80.221,10.0,9.0,0.0,1.0,0.0
BOR,81.696,81.668,80.459,39.209964285,20.777285714,46.70892,99.549181818,9.0,80.221,10.0,9.0,0.0,1.0,0.0
BOR,81.696,81.668,80.459,39.209964285,20.777285714,46.70892,99.549181818,9.0,80.221,10.0,9.0,0.0,0.0,1.0
BOT,84.022,83.66,83.514,37.285821428,20.556821428,43.6046,101.50036,15.0,83.244,19.0,19.0,0.0,1.0,0.0
BOT,84.022,83.66,83.514,37.285821428,20.556821428,43.6046,101.50036,15.0,83.244,19.0,19.0,0.0,1.0,0.0
BOT,84.022,83.66,83.514,37.285821428,20.556821428,43.6046,101.50036,15.0,83.244,19.0,19.0,0.0,1.0,0.0
COL,83.325,82.619,81.413,38.297846153,22.258222222,45.171583333,101.418318181,11.0,81.27,16.0,14.0,0.0,1.0,0.0
COL,83.325,82.619,81.413,38.297846153,22.258222222,45.171583333,101.418318181,11.0,81.27,16.0,14.0,0.0,1.0,0.0
COL,83.325,82.619,81.413,38.297846153,22.258222222,45.171583333,101.418318181,11.0,81.27,16.0,14.0,0.0,1.0,0.0
GAS,84.035,82.167,81.071,37.261133333,22.742125,41.458428571,99.050307692,11.0,80.501,14.0,10.0,0.0,1.0,0.0
GAS,84.035,82.167,81.071,37.261133333,22.742125,41.458428571,99.050307692,11.0,80.501,14.0,10.0,0.0,1.0,0.0
