Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result
ALB,83.13,81.847,81.664,100.398928571,80.941,15.0,12.0
ALB,83.13,81.847,81.664,100.398928571,80.941,15.0,12.0
ALB,83.13,81.847,81.664,100.398928571,80.941,15.0,12.0
ANT,81.376,79.943,80.324,95.665076923,78.811,2.0,2.0
ANT,81.376,79.943,80.324,95.665076923,78.811,2.0,2.0
ANT,81.376,79.943,80.324,95.665076923,78.811,2.0,2.0
BEA,82.682,81.326,80.778,102.07275,80.311,12.0,7.0
BEA,82.682,81.326,80.778,102.07275,80.311,12.0,7.0
BEA,82.682,81.326,80.778,102.07275,80.311,12.0,7.0
BOR,81.696,81.668,80.459,99.549181818,80.221,10.0,9.0
BOR,81.696,81.668,80.459,99.549181818,80.221,10.0,9.0
BOR,81.696,81.668,80.459,99.549181818,80.221,10.0,9.0
BOT,84.022,83.66,83.514,101.50036,83.244,19.0,19.0
BOT,84.022,83.66,83.514,101.50036,83.244,19.0,19.0
BOT,84.022,83.66,83.514,101.50036,83.244,19.0,19.0
COL,83.325,82.619,81.413,101.418318181,81.27,16.0,14.0
COL,83.325,82.619,81.413,101.418318181,81.27,16.0,14.0
COL,83.325,82.619,81.413,101.418318181,81.27,16.0,14.0
GAS,84.035,82.167,81.071,99.050307692,80.501,14.0,10.0
GAS,84.035,82.167,81.071,99.050307692,80.501,14.0,10.0
HAD,81.087,80.941,80.137,99.028217391,79.303,3.0,20.0
HAD,81.087,80.941,80.137,99.028217391,79.303,3.0,20.0
HAD,81.087,80.941,80.137,99.028217391,79.303,3.0,20.0
HAM,80.736,80.05,79.669,99.92,79.478,7.0,4.0
HAM,80.736,80.05,79.669,99.92,79.478,7.0,4.0
HAM,80.736,80.05,79.669,99.92,79.478,7.0,4.0
HUL,81.969,81.351,81.067,93.962482758,80.303,11.0,22.0
HUL,81.969,81.351,81.067,93.962482758,80.303,11.0,22.0
HUL,81.969,81.351,81.067,93.962482758,80.303,11.0,22.0
LAW,82.613,81.358,80.89,97.6478,79.994,8.0,13.0
LAW,82.613,81.358,80.89,97.6478,79.994,8.0,13.0
LAW,82.613,81.358,80.89,97.6478,79.994,8.0,13.0
LEC,80.267,80.291,79.827,99.48636,79.327,4.0,3.0
LEC,80.267,80.291,79.827,99.48636,79.327,4.0,3.0
LEC,80.267,80.291,79.827,99.48636,79.327,4.0,3.0
LIN,81.313,80.922,80.838,101.070296296,81.247,9.0,8.0
LIN,81.313,80.922,80.838,101.070296296,81.247,9.0,8.0
LIN,81.313,80.922,80.838,101.070296296,81.247,9.0,8.0
NOR,84.391,80.794,80.443,92.236041666,79.475,6.0,5.0
NOR,84.391,80.794,80.443,92.236041666,79.475,6.0,5.0
NOR,84.391,80.794,80.443,92.236041666,79.475,6.0,5.0
OCO,82.161,81.179,80.983,102.046375,80.491,13.0,11.0
OCO,82.161,81.179,80.983,102.046375,80.491,13.0,11.0
OCO,82.161,81.179,80.983,102.046375,80.491,13.0,11.0
PER,84.62,91.561,84.397,118.806,82.605,18.0,16.0
PER,84.62,91.561,84.397,118.806,82.605,18.0,16.0
PER,84.62,91.561,84.397,118.806,82.605,18.0,16.0
PIA,81.342,79.729,80.087,96.971181818,79.38,5.0,21.0
PIA,81.342,79.729,80.087,96.971181818,79.38,5.0,21.0
PIA,81.342,79.729,80.087,96.971181818,79.38,5.0,21.0
RUS,81.371,80.049,79.053,101.140833333,78.518,1.0,1.0
RUS,81.371,80.049,79.053,101.140833333,78.518,1.0,1.0
RUS,81.371,80.049,79.053,101.140833333,78.518,1.0,1.0
ALB,95.48,95.305,98.158,108.9622,94.772,18.0,22.0
ALB,95.48,95.305,98.158,108.9622,94.772,18.0,22.0
ALB,95.48,95.305,98.158,108.9622,94.772,18.0,22.0
ALO,95.856,95.581,98.487,107.56425,95.203,19.0,17.0
ALO,95.856,95.581,98.487,107.56425,95.203,19.0,17.0
ALO,95.856,95.581,98.487,107.56425,95.203,19.0,17.0
ANT,92.861,91.809,94.76,107.6587,92.064,1.0,1.0
ANT,92.861,91.809,94.76,107.6587,92.064,1.0,1.0
ANT,92.861,91.809,94.76,107.6587,92.064,1.0,1.0
BEA,94.426,93.409,97.374,110.244461538,93.292,10.0,5.0
BEA,94.426,93.409,97.374,110.244461538,93.292,10.0,5.0
BEA,94.426,93.409,97.374,110.244461538,93.292,10.0,5.0
BOR,94.828,93.774,97.8,110.35925,93.965,16.0,21.0
BOR,94.828,93.774,97.8,110.35925,93.965,16.0,21.0
BOR,94.828,93.774,97.8,110.35925,93.965,16.0,21.0
BOT,96.057,97.378,99.262,109.943714285,95.436,20.0,13.0
BOT,96.057,97.378,99.262,109.943714285,95.436,20.0,13.0
BOT,96.057,97.378,99.262,109.943714285,95.436,20.0,13.0
COL,94.947,94.327,97.278,111.528,93.357,12.0,10.0
COL,94.947,94.327,97.278,111.528,93.357,12.0,10.0
GAS,94.676,92.888,98.349,112.2755,92.873,7.0,6.0
GAS,94.676,92.888,98.349,112.2755,92.873,7.0,6.0
GAS,94.676,92.888,98.349,112.2755,92.873,7.0,6.0
HAD,94.856,93.62,96.912,107.512636363,93.121,9.0,8.0
HAD,94.856,93.62,96.912,107.512636363,93.121,9.0,8.0
HAD,94.856,93.62,96.912,107.512636363,93.121,9.0,8.0
HAM,94.129,92.161,94.926,111.76725,92.415,3.0,3.0
HAM,94.129,92.161,94.926,111.76725,92.415,3.0,3.0
HAM,94.129,92.161,94.926,111.76725,92.415,3.0,3.0
HUL,94.639,93.635,98.027,107.721083333,93.354,11.0,11.0
HUL,94.639,93.635,98.027,107.721083333,93.354,11.0,11.0
HUL,94.639,93.635,98.027,107.721083333,93.354,11.0,11.0
LAW,94.773,93.714,97.882,108.13,93.765,14.0,7.0
LAW,94.773,93.714,97.882,108.13,93.765,14.0,7.0
LAW,94.773,93.714,97.882,108.13,93.765,14.0,7.0
LEC,93.599,92.528,94.753,108.046916666,92.428,4.0,4.0
LEC,93.599,92.528,94.753,108.046916666,92.428,4.0,4.0
LEC,93.599,92.528,94.753,108.046916666,92.428,4.0,4.0
LIN,97.896,94.048,98.475,108.096090909,93.784,15.0,12.0
LIN,97.896,94.048,98.475,108.096090909,93.784,15.0,12.0
LIN,97.896,94.048,98.475,108.096090909,93.784,15.0,12.0
NOR,93.296,92.141,95.708,108.8871,92.608,6.0,20.0
NOR,93.296,92.141,95.708,108.8871,92.608,6.0,20.0
NOR,93.296,92.141,95.708,108.8871,92.608,6.0,20.0
OCO,94.877,93.639,97.363,110.530090909,93.538,13.0,14.0
OCO,94.877,93.639,97.363,110.530090909,93.538,13.0,14.0
OCO,94.877,93.639,97.363,110.530090909,93.538,13.0,14.0
PER,99.2,91.561,98.862,105.84055276823729,96.906,22.0,15.0
PER,99.2,91.561,98.862,105.84055276823729,96.906,22.0,15.0
PER,99.2,91.561,98.862,105.84055276823729,96.906,22.0,15.0
PIA,93.472,92.224,95.635,110.3587,92.55,5.0,19.0
PIA,93.472,92.224,95.635,110.3587,92.55,5.0,19.0
PIA,93.472,92.224,95.635,110.3587,92.55,5.0,19.0
RUS,92.741,91.52,95.101,109.65,92.286,2.0,2.0
RUS,92.741,91.52,95.101,109.65,92.286,2.0,2.0
SAI,95.679,94.761,97.913,110.9942,94.317,17.0,9.0
SAI,95.679,94.761,97.913,110.9942,94.317,17.0,9.0
