Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Longest_Stint,Tyre_Compound,Qualifying_Time(s),Starting_Pos,Race_Result
ALB,76.642,,75.717,,,,,,,74.851,18.0,
ALO,75.863,75.76,77.543,27.015428571,27.536666666,36.476,91.0715,7.0,MEDIUM,75.196,19.0,
ANT,73.402,73.033,74.38,24.462866666,27.0069375,36.096461538,88.209083333,6.0,MEDIUM,72.646,2.0,
BEA,77.77,75.197,76.21,26.36075,26.780058823,35.207714285,89.245076923,8.0,MEDIUM,74.416,16.0,
BOR,76.214,74.627,75.98,27.324714285,28.032857142,35.38590909,89.142545454,7.0,MEDIUM,74.071,13.0,
BOT,77.868,76.866,77.212,26.833125,27.3505,34.621166666,88.958,7.0,MEDIUM,76.272,22.0,
GAS,76.809,76.642,76.15,26.236,26.903428571,34.6035,87.290666666,6.0,MEDIUM,74.187,14.0,
HAD,76.253,73.605,74.941,26.351125,27.5359375,35.148071428,88.088857142,6.0,MEDIUM,72.935,7.0,
HAM,74.176,73.326,74.695,24.798428571,27.069590909,33.615578947,85.331388888,8.0,MEDIUM,72.868,5.0,
HUL,75.698,74.595,76.297,26.8505,27.492285714,34.247272727,86.996181818,7.0,MEDIUM,73.886,11.0,
LAW,77.431,,76.257,,,,,,,73.897,12.0,
LEC,74.355,73.41,74.741,25.318526315,27.003,35.88025,88.173125,7.0,MEDIUM,72.976,8.0,
LIN,75.452,73.737,75.653,25.524526315,27.817444444,35.68225,88.946625,7.0,MEDIUM,73.28,9.0,
NOR,74.799,73.28,74.596,25.347,26.387266666,37.436916666,89.301583333,7.0,MEDIUM,72.729,3.0,
OCO,76.497,74.928,76.849,26.09717647,26.8515,35.798571428,88.805428571,8.0,MEDIUM,74.845,17.0,
PER,77.926,76.002,76.641,25.216125,27.253857142,33.536833333,84.744,7.0,MEDIUM,75.429,20.0,
PIA,74.963,73.299,74.793,27.7886,27.393933333,37.005166666,91.068583333,6.0,MEDIUM,72.781,4.0,
RUS,73.544,72.965,74.702,24.087888888,26.450421052,36.526352941,87.752375,7.0,MEDIUM,72.578,1.0,
SAI,76.66,74.536,75.943,26.809,27.738625,34.57685,87.875157894,8.0,MEDIUM,74.273,15.0,
STR,76.978,76.354,77.12,26.713857142,27.1525,36.901428571,91.682,7.0,MEDIUM,76.195,21.0,
VER,74.366,73.504,74.974,25.239285714,26.9225,34.624666666,85.870166666,6.0,MEDIUM,72.907,6.0,
