Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Longest_Stint,Tyre_Compound,Qualifying_Time(s),Starting_Pos,Race_Result
ALB,91.024,90.216,93.473,40.9302,40.687333333,31.818666666,112.2585,6,MEDIUM,89.946,15.0,10.0
ALO,92.593,92.49,94.72,37.1052,39.793166666,34.718666666,111.4286,6,MEDIUM,91.098,17.0,15.0
ANT,90.079,88.091,91.932,39.8867,40.724857142,33.187923076,106.2955,3,MEDIUM,87.798,1.0,1.0
BEA,91.091,90.116,94.524,40.357,39.887444444,31.671333333,110.144833333,3,MEDIUM,89.567,12.0,11.0
BOR,91.111,89.994,94.174,37.46,41.7265,33.908166666,111.922888888,6,MEDIUM,93.737,21.0,12.0
BOT,92.762,91.826,95.856,36.4515,40.314666666,36.7328,92.0715,3,MEDIUM,91.629,19.0,18.0
COL,91.015,89.32,93.139,39.173833333,39.7624,31.3745,109.832,6,MEDIUM,88.762,8.0,7.0
GAS,90.587,89.474,93.072,39.254416666,40.081666666,30.743785714,109.097636363,6,MEDIUM,88.81,9.0,21.0
HAD,90.873,89.422,93.119,36.692083333,40.4124,31.293142857,106.426636363,6,MEDIUM,88.789,22.0,22.0
HAM,89.777,88.618,92.448,38.03175,39.2982,30.978428571,107.213272727,6,MEDIUM,88.319,6.0,6.0
HUL,91.595,90.019,,36.696111111,39.646,35.762416666,111.277666666,6,MEDIUM,89.439,10.0,19.0
LAW,91.648,91.043,94.204,35.239,41.8754,33.8514,108.776666666,3,MEDIUM,89.499,11.0,20.0
LEC,89.31,88.239,91.964,37.248333333,40.522133333,30.256285714,107.127,6,MEDIUM,88.143,3.0,8.0
LIN,92.862,90.573,,35.695833333,39.129333333,37.534111111,112.617,3,MEDIUM,90.133,16.0,14.0
NOR,90.208,87.869,91.885,36.548166666,40.037466666,32.785571428,108.265727272,7,MEDIUM,88.183,4.0,2.0
OCO,91.635,91.245,94.409,37.6635,40.661666666,31.575,108.34225,3,MEDIUM,89.772,14.0,13.0
PER,92.047,91.255,95.015,36.1885,40.089333333,42.648333333,122.4475,3,MEDIUM,91.967,20.0,16.0
PIA,89.758,88.108,92.079,39.577888888,40.305272727,33.269777777,111.682428571,5,MEDIUM,88.5,7.0,3.0
RUS,90.1,88.493,92.387,39.324090909,40.503,34.202357142,106.589555555,3,MEDIUM,88.197,5.0,4.0
SAI,90.93,90.224,94.008,39.0587,41.538333333,31.354166666,111.1776,6,MEDIUM,89.568,13.0,9.0
STR,92.959,,95.009,37.744,39.904,43.944666666,125.395,3,MEDIUM,91.164,18.0,17.0
VER,89.607,88.461,92.201,37.386555555,39.8175,30.584363636,105.282,6,MEDIUM,87.964,2.0,5.0
