Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,6.0,,0.0,83.13,81.847,81.664,36.65003125,20.8983125,42.942392857,100.398928571,80.941,15.0,12.0,0.0,0.0
ALO,Aston Martin,9.0,,0.0,,84.662,82.72,35.042333333,23.232611111,50.321933333,105.833357142,81.969,17.0,18.0,0.0,0.0
ANT,Mercedes,10.0,,43.0,81.376,79.943,80.324,36.042935483,19.78816129,41.798555555,95.665076923,78.811,2.0,2.0,18.0,43.0
BEA,Haas F1 Team,6.5,,6.0,82.682,81.326,80.778,39.039838709,20.835774193,41.873785714,102.07275,80.311,12.0,7.0,6.0,6.0
BOR,Audi,5.5,,2.0,81.696,81.668,80.459,39.209964285,20.777285714,46.70892,99.549181818,80.221,10.0,9.0,2.0,2.0
BOT,Cadillac,9.5,,0.0,84.022,83.66,83.514,37.285821428,20.556821428,43.6046,101.50036,83.244,19.0,19.0,0.0,0.0
COL,Alpine,7.0,,1.0,83.325,82.619,81.413,38.297846153,22.258222222,45.171583333,101.418318181,81.27,16.0,14.0,0.0,1.0
GAS,Alpine,5.5,,1.0,84.035,82.167,81.071,37.261133333,22.742125,41.458428571,99.050307692,80.501,14.0,10.0,1.0,1.0
HAD,Red Bull Racing,10.0,,8.0,81.087,80.941,80.137,36.938357142,23.917321428,42.749958333,99.028217391,79.303,3.0,20.0,0.0,8.0
HAM,Ferrari,8.0,,27.0,80.736,80.05,79.669,36.481677419,21.75396875,43.648655172,99.92,79.478,7.0,4.0,12.0,27.0
HUL,Audi,11.0,,2.0,81.969,81.351,81.067,34.139484848,20.528764705,41.426838709,93.962482758,80.303,11.0,22.0,0.0,2.0
LAW,Racing Bulls,6.5,,4.0,82.613,81.358,80.89,35.426965517,21.766172413,41.59772,97.6478,79.994,8.0,13.0,0.0,4.0
LEC,Ferrari,9.0,,27.0,80.267,80.291,79.827,37.004633333,20.809666666,45.400444444,99.48636,79.327,4.0,3.0,15.0,27.0
LIN,Racing Bulls,6.0,,4.0,81.313,80.922,80.838,39.199866666,20.971933333,43.092518518,101.070296296,81.247,9.0,8.0,4.0,4.0
NOR,McLaren,7.5,,10.0,84.391,80.794,80.443,33.216285714,20.360862068,42.638692307,92.236041666,79.475,6.0,5.0,10.0,10.0
OCO,Haas F1 Team,5.5,,6.0,82.161,81.179,80.983,39.771344827,20.526620689,45.612115384,102.046375,80.491,13.0,11.0,0.0,6.0
PER,Cadillac,8.0,,0.0,84.62,,84.397,40.0335,21.311,53.61,118.806,82.605,18.0,16.0,0.0,0.0
PIA,McLaren,10.5,,10.0,81.342,79.729,80.087,36.638115384,20.288807692,43.384,96.971181818,79.38,5.0,21.0,0.0,10.0
RUS,Mercedes,13.0,,43.0,81.371,80.049,79.053,38.616071428,20.045714285,42.000041666,101.140833333,78.518,1.0,1.0,25.0,43.0
SAI,Williams,7.5,,0.0,82.323,82.253,,35.224,21.1421,44.954666666,102.363111111,,,15.0,0.0,0.0
STR,Aston Martin,8.5,,0.0,,,,42.99376923,24.310153846,47.8523,116.4078,,,17.0,0.0,0.0
VER,Red Bull Racing,7.0,,8.0,80.789,80.366,80.197,37.872230769,19.745,41.107,93.8623,,,6.0,8.0,8.0
