Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart,Predicted_Result,Predicted_Pos
ANT,Mercedes,9.0,17.0,31.0,74.537,73.529,72.72,23.736771428,42.723088235,26.855258064,91.253033333,72.051,1.0,131.0,219.0,4,5,1,0.5590000000000117,0.5030000000000001,0.0,17,22,17,93.315117727,7.824569340000011,19,6.691904301000008,219.0,28689.0,1.0,4.6863874011480435,1
LEC,Ferrari,8.0,6.0,21.0,73.978,73.137,73.047,23.069171428,41.336171428,25.71571875,90.4424375,72.351,4.0,75.0,147.0,1,2,2,0.0,0.1110000000000042,0.3269999999999982,8,15,11,90.12106160600001,4.630513219000022,14,5.881308468,588.0,11025.0,8.0,4.759161622691034,2
HAM,Ferrari,8.666666666666666,8.333333333333332,21.0,74.204,73.026,73.051,24.4655,41.936057142,27.097875,92.8210625,72.279,3.0,72.0,147.0,2,1,3,0.2259999999999991,0.0,0.33100000000000307,21,19,18,93.499432142,8.008883755000014,21,8.259933468,441.0,10584.0,9.0,4.847396908238819,3
RUS,Mercedes,7.666666666666667,9.833333333333334,31.0,74.983,73.405,73.483,23.428030303,42.5885,24.967387096,88.913862068,72.445,6.0,88.0,219.0,5,4,4,1.0050000000000097,0.3790000000000049,0.7630000000000052,15,21,6,90.98391739899999,5.493369012000002,9,4.352733036000004,1314.0,19272.0,24.0,6.348409212669855,4
VER,Red Bull Racing,7.666666666666667,8.833333333333334,17.5,74.491,73.194,73.662,21.8802,38.9048,24.705548387,84.561129032,72.094,2.0,43.0,57.0,3,3,5,0.5130000000000052,0.16800000000000637,0.9420000000000073,1,1,3,85.49054838699999,0.0,1,0.0,114.0,2451.0,10.0,7.538481395646833,5
PIA,McLaren,4.666666666666667,9.833333333333334,16.5,75.565,74.088,73.698,23.13332258,40.818366666,27.697888888,90.988222222,72.624,7.0,48.0,106.0,8,7,6,1.5870000000000033,1.0619999999999976,0.9779999999999944,10,12,21,91.649578134,6.159029747000005,16,6.427093190000008,742.0,5088.0,42.0,8.45054521018627,6
NOR,McLaren,6.666666666666667,12.333333333333334,16.5,75.291,75.274,74.006,23.993625,41.239428571,28.596714285,94.353571428,72.765,8.0,58.0,106.0,6,19,9,1.3130000000000024,2.2480000000000047,1.2860000000000014,18,14,22,93.829767856,8.339219469000014,22,9.792442395999998,848.0,6148.0,72.0,9.1884619085335,7
HAD,Red Bull Racing,12.333333333333334,6.166666666666667,17.5,76.148,74.087,73.877,23.117913043,40.684347826,27.258368421,91.049631578,72.434,5.0,14.0,57.0,13,6,8,2.1700000000000017,1.061000000000007,1.1569999999999965,9,8,19,91.06062929000001,5.570080903000019,18,6.4885025460000065,285.0,798.0,40.0,9.212705331841358,8
GAS,Alpine,11.0,5.5,9.0,75.828,74.497,74.48,24.386378378,39.974888888,24.85090909,88.366878787,73.226,9.0,20.0,35.0,10,11,13,1.8500000000000085,1.4710000000000036,1.7600000000000051,20,4,4,89.212176356,3.7216279690000107,6,3.805749755000008,315.0,700.0,117.0,9.454452984902094,9
LAW,Racing Bulls,11.0,5.5,3.0,76.431,74.785,74.587,22.825971428,41.609742857,25.9335,90.3794375,73.412,10.0,16.0,21.0,19,16,15,2.453000000000003,1.7590000000000003,1.8670000000000044,5,18,12,90.369214285,4.878665898000008,13,5.818308467999998,210.0,336.0,150.0,10.901116435808772,10
SAI,Williams,6.666666666666667,4.333333333333334,2.5,76.041,74.512,74.336,22.817939393,41.192212121,26.5131,90.8501,73.815,12.0,6.0,7.0,12,12,12,2.0630000000000024,1.4860000000000042,1.6159999999999997,4,13,16,90.52325151400001,5.032703127000019,15,6.288970968000001,84.0,42.0,144.0,11.831092772485297,11
LIN,Racing Bulls,12.0,6.0,3.0,76.389,74.748,74.918,22.990567567,42.183666666,26.123181818,91.285181818,74.248,15.0,5.0,21.0,18,14,17,2.4110000000000014,1.7220000000000084,2.1980000000000075,7,20,15,91.297416051,5.806867664000009,20,6.7240527860000014,315.0,105.0,255.0,12.133204731886623,12
COL,Alpine,7.0,6.5,9.0,76.189,74.758,75.179,24.279387096,41.603032258,25.316074074,90.105,73.995,14.0,15.0,35.0,15,15,19,2.2109999999999985,1.7319999999999993,2.459000000000003,19,17,10,91.198493428,5.707945041000016,12,5.543870968000007,490.0,525.0,266.0,12.298517866485941,13
