Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints
ALB,Williams,8.666666666666666,6.333333333333333,2.0,69.644,68.838,68.992,24.5212,39.2395,27.818088235,88.911551724,68.509,18.0,5.0,11.0
ALO,Aston Martin,9.666666666666666,5.333333333333333,0.5,71.333,70.544,70.421,24.061173913,38.780666666,27.740222222,90.763956521,69.942,21.0,1.0,1.0
ANT,Mercedes,5.666666666666667,15.333333333333334,21.5,67.796,67.014,67.134,27.853592592,38.93025,28.26184375,87.49572,66.414,4.0,156.0,262.0
BEA,Haas F1 Team,12.333333333333334,6.166666666666667,1.0,69.071,68.532,68.529,27.075666666,41.317545454,28.995121212,90.111851851,67.523,13.0,18.0,21.0
BOR,Audi,7.333333333333333,3.6666666666666665,0.0,,68.3,68.311,23.765925925,39.9306,27.5476,85.99548,67.293,12.0,2.0,2.0
BOT,Cadillac,14.0,7.0,0.0,69.521,71.307,69.74,22.8725,52.1675,36.707666666,102.608,69.03,20.0,0.0,0.0
COL,Alpine,8.333333333333334,4.166666666666667,11.0,68.962,68.831,68.394,22.929888888,41.177366666,31.558733333,90.3356,68.171,16.0,16.0,57.0
GAS,Alpine,5.333333333333333,10.166666666666666,11.0,69.546,68.376,68.193,23.1576,39.279757575,28.010969696,87.782310344,67.223,11.0,41.0,57.0
HAD,Red Bull Racing,6.0,9.0,16.0,69.481,67.758,67.912,26.111666666,41.806892857,30.731071428,96.567608695,66.632,8.0,34.0,89.0
HAM,Ferrari,9.333333333333334,13.666666666666668,21.5,68.461,67.611,67.211,22.738103448,41.780363636,28.209787878,93.88037931,66.408,3.0,115.0,190.0
HUL,Audi,11.0,5.5,0.0,69.165,68.559,68.303,22.21537037,36.67221875,28.11984375,84.365653846,67.611,14.0,0.0,2.0
LAW,Racing Bulls,6.0,7.0,10.0,,68.235,68.031,22.623166666,38.141647058,26.803235294,87.6077,66.955,9.0,28.0,41.0
LEC,Ferrari,10.666666666666666,5.333333333333333,21.5,,67.855,67.452,21.26184375,39.2,30.1996,89.219774193,66.349,2.0,75.0,190.0
LIN,Racing Bulls,6.0,6.0,10.0,68.726,68.378,68.109,19.106307692,35.420482758,26.257586206,80.7495,67.007,10.0,13.0,41.0
NOR,McLaren,12.333333333333334,6.166666666666667,17.5,68.873,67.339,67.36,26.446896551,39.4703125,28.9695625,91.169,66.502,6.0,73.0,141.0
OCO,Haas F1 Team,7.333333333333333,4.666666666666666,1.0,,68.83,68.707,22.83937931,40.647969696,29.264696969,90.489071428,67.817,15.0,3.0,21.0
PER,Cadillac,9.666666666666666,4.833333333333333,0.0,71.283,,69.532,29.17,45.266,30.883,,68.945,19.0,0.0,0.0
PIA,McLaren,6.666666666666667,8.333333333333334,17.5,67.913,67.251,67.344,23.409357142,39.35625,27.92546875,91.167714285,66.511,7.0,68.0,141.0
RUS,Mercedes,10.666666666666666,5.333333333333333,21.5,67.836,67.637,67.096,25.752681818,39.62884,28.14952,93.109681818,66.113,1.0,106.0,262.0
SAI,Williams,9.333333333333334,4.666666666666667,2.0,,69.131,68.843,24.526961538,37.210733333,26.736866666,88.530884615,68.252,17.0,6.0,11.0
STR,Aston Martin,13.333333333333334,6.666666666666667,0.5,,70.698,70.567,25.130142857,38.60021875,29.02103125,92.933642857,70.363,22.0,0.0,1.0
VER,Red Bull Racing,12.666666666666666,6.333333333333333,16.0,68.077,67.564,67.369,21.64436,38.074413793,30.006241379,86.724625,66.475,5.0,55.0,89.0
