Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
ALB,Williams,9.666666666666666,6.833333333333333,3.0,78.172,78.79,78.412,31.6565,39.683310344,30.197,99.4668,77.424,18.0,18.0,5.0,11.0,14,19,18,1.8089999999999975,3.3640000000000043,2.733000000000004,14,19,16,101.536810344,11.751472701000012,17,13.279907143000003,198.0,55.0,324.0
ALO,Aston Martin,10.0,5.5,0.5,80.067,79.286,79.496,35.021882352,38.697571428,31.812285714,101.9334375,78.815,22.0,19.0,1.0,1.0,21,21,20,3.7039999999999935,3.8599999999999994,3.816999999999993,20,17,20,105.531739494,15.746401851000016,21,15.746544642999993,22.0,1.0,440.0
ANT,Mercedes,9.0,17.0,25.0,78.172,76.015,76.5,30.541730769,36.241451612,28.641741935,92.3254,74.998,3.0,16.0,156.0,244.0,12,5,7,1.8089999999999975,0.5889999999999986,0.820999999999998,10,5,4,95.424924316,5.639586673000011,4,6.138507142999998,732.0,38064.0,21.0
BEA,Haas F1 Team,10.333333333333334,5.166666666666667,1.5,78.172,76.945,78.391,29.794615384,38.965032258,29.422129032,94.43532,76.389,15.0,17.0,18.0,21.0,15,12,17,1.8089999999999975,1.5189999999999912,2.7120000000000033,7,18,9,98.181776674,8.396439031000014,6,8.248427143,315.0,378.0,255.0
BOR,Audi,8.0,4.0,0.0,78.209,76.611,77.027,33.155043478,37.324148148,30.188851851,99.770869565,76.001,12.0,11.0,2.0,2.0,16,8,11,1.8460000000000036,1.1850000000000023,1.347999999999999,18,8,15,100.668043477,10.882705834000006,18,13.583976707999994,24.0,4.0,132.0
BOT,Cadillac,12.333333333333334,6.166666666666667,0.0,78.914,78.225,79.962,31.0476,36.628833333,29.566166666,95.373,77.757,20.0,21.0,0.0,0.0,20,18,21,2.551000000000002,2.7989999999999924,4.283000000000001,13,6,10,97.242599999,7.457262356000015,10,9.186107143000001,0.0,0.0,420.0
COL,Alpine,9.333333333333334,4.666666666666667,13.5,77.893,77.051,77.625,33.104666666,40.738133333,29.991166666,94.732,76.191,13.0,10.0,15.0,50.0,7,15,14,1.5300000000000011,1.625,1.945999999999998,17,20,13,103.83396666499999,14.048629022,8,8.545107142999996,650.0,750.0,182.0
GAS,Alpine,5.0,10.0,13.5,78.508,77.26,77.583,31.015653846,38.357793103,30.247724137,99.776384615,76.261,14.0,7.0,35.0,50.0,19,16,13,2.144999999999996,1.8340000000000032,1.9039999999999964,12,13,17,99.621171086,9.835833443000013,19,13.589491757999994,700.0,1750.0,182.0
HAD,Red Bull Racing,6.333333333333333,9.166666666666666,18.5,78.172,76.674,76.684,30.813,38.6885,30.617133333,96.05468,75.077,6.0,6.0,26.0,69.0,8,10,8,1.8089999999999975,1.2480000000000047,1.0049999999999955,11,16,19,100.11863333299999,10.33329569,13,9.867787143000001,414.0,1794.0,48.0
HAM,Ferrari,7.333333333333333,12.666666666666666,24.0,78.172,76.631,76.381,35.3812,41.650392857,30.575357142,100.283454545,74.743,2.0,1.0,90.0,165.0,10,9,5,1.8089999999999975,1.2049999999999983,0.7019999999999982,22,21,18,107.606949999,17.821612356000003,20,14.096561687999994,330.0,14850.0,10.0
