Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart,Predicted_Result,Predicted_Pos
LEC,Ferrari,9.0,4.5,19.5,89.859,88.703,92.158,34.955454545,42.920142857,28.963461538,105.318,88.286,2.0,79.0,204.0,3,4,4,0.5989999999999895,0.3269999999999982,0.5510000000000019,13,4,7,106.83905894000002,1.9948998510000135,10,2.7338749999999976,408.0,16116.0,8.0,5.65586342824597,1
HAD,Red Bull Racing,6.666666666666667,7.333333333333334,23.0,90.338,88.835,93.0,37.261545454,43.5245,30.938153846,106.571777777,88.746,5.0,42.0,115.0,8,8,8,1.0779999999999887,0.458999999999989,1.393000000000001,18,12,21,111.7241993,6.880040211000008,16,3.987652776999994,575.0,4830.0,40.0,7.740028924545406,2
HAM,Ferrari,5.333333333333333,15.166666666666666,19.5,89.26,88.376,91.908,34.44290909,44.078,29.163923076,106.1885,88.458,3.0,125.0,204.0,1,1,2,0.0,0.0,0.3010000000000019,10,17,8,107.684832166,2.8406730770000053,14,3.604375000000005,612.0,25500.0,6.0,8.455050385632857,3
NOR,McLaren,5.333333333333333,10.166666666666666,21.5,90.288,88.74,92.19,39.7505,42.750266666,29.519928571,104.775,88.877,6.0,79.0,159.0,7,6,5,1.0279999999999916,0.3639999999999901,0.5829999999999984,20,3,12,112.020695237,7.176536148000011,7,2.190875000000005,954.0,12561.0,30.0,9.136086107673922,4
VER,Red Bull Racing,8.0,10.0,23.0,90.24,88.697,92.393,36.678555555,41.946333333,28.841363636,105.502125,88.893,7.0,73.0,115.0,6,3,7,0.9799999999999898,0.3209999999999979,0.7860000000000014,17,1,6,107.466252524,2.6220934349999965,12,2.9180000000000064,805.0,8395.0,49.0,9.488847050304859,5
ANT,Mercedes,11.333333333333334,5.666666666666667,29.0,89.473,88.387,91.607,41.809333333,43.607866666,27.806928571,102.991,88.111,1.0,171.0,302.0,2,2,1,0.2129999999999938,0.0109999999999956,0.0,22,13,1,113.22412857,8.37996948099999,3,0.4068749999999994,302.0,51642.0,1.0,10.16440528003574,6
LAW,Racing Bulls,6.333333333333333,5.166666666666666,4.5,90.85,88.927,93.051,34.152666666,43.328416666,28.410545454,104.66175,89.716,10.0,30.0,44.0,10,9,9,1.5899999999999892,0.5510000000000019,1.4440000000000026,7,8,3,105.891628786,1.0474696969999968,6,2.0776249999999976,440.0,1320.0,90.0,10.64898109706493,7
PIA,McLaren,7.0,8.5,21.5,90.147,88.772,92.223,33.478666666,42.639583333,28.72590909,102.8595,89.032,8.0,80.0,159.0,5,7,6,0.8870000000000005,0.3960000000000008,0.6159999999999997,3,2,4,104.844159089,0.0,2,0.2753749999999968,1272.0,12720.0,48.0,10.974585653953685,8
LIN,Racing Bulls,6.666666666666667,4.333333333333334,4.5,91.339,89.33,93.572,34.514888888,44.6015,30.755272727,109.4345,89.305,9.0,14.0,44.0,13,10,13,2.078999999999993,0.9539999999999936,1.9650000000000036,11,20,20,109.871661615,5.027502526000006,19,6.850375,396.0,616.0,117.0,11.199962935855947,9
RUS,Mercedes,9.333333333333334,13.666666666666668,29.0,89.938,88.733,91.977,34.897363636,43.735266666,28.016214285,105.0893,88.481,4.0,131.0,302.0,4,5,3,0.6779999999999973,0.3569999999999993,0.3700000000000045,12,14,2,106.648844587,1.8046854979999976,8,2.505174999999994,1208.0,39562.0,12.0,11.296541314886847,10
