Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart,Predicted_Result,Predicted_Pos
ANT,Mercedes,11.0,5.5,29.0,107.603,105.944,105.99,43.4775,55.776588235,33.7164375,117.496,104.361,1.0,179.0,333.0,6,1,1,0.5330000000000013,0.0,0.0,20,6,1,132.970525735,5.337861834999984,8,6.905222222999996,333.0,59607.0,1.0,7.398016364956634,1
VER,Red Bull Racing,13.333333333333334,6.666666666666667,18.0,107.07,106.416,106.138,41.872375,54.053894736,34.245473684,115.72575,104.678,2.0,76.0,128.0,1,3,3,0.0,0.4719999999999942,0.1480000000000103,15,1,4,130.17174341999998,2.539079519999973,6,5.134972223000005,256.0,9728.0,6.0,7.7448299105790115,2
NOR,McLaren,5.666666666666667,8.833333333333334,15.0,107.931,106.134,106.129,38.130076923,55.232,38.217125,114.243428571,104.801,3.0,97.0,179.0,7,2,2,0.8610000000000042,0.1899999999999977,0.13900000000001,2,4,20,131.579201923,3.946538022999988,2,3.652650793999996,537.0,17363.0,6.0,7.8355347702768485,3
HAM,Ferrari,6.0,10.5,27.0,107.215,106.691,106.382,44.469916666,57.6535,35.9595,115.093,104.895,6.0,147.0,255.0,2,4,5,0.1450000000000102,0.7469999999999999,0.3920000000000101,21,11,12,138.082916666,10.450252765999975,4,4.502222223000004,1530.0,37485.0,30.0,8.525937972009306,4
LEC,Ferrari,4.333333333333333,14.666666666666666,27.0,107.277,107.035,106.75,42.948666666,56.8654375,35.42775,115.681,104.893,5.0,108.0,255.0,3,7,6,0.2070000000000078,1.090999999999994,0.7600000000000051,18,10,11,135.241854166,7.609190265999985,5,5.090222222999998,1275.0,27540.0,30.0,8.940878221979085,5
RUS,Mercedes,9.333333333333334,13.666666666666668,29.0,107.959,107.229,106.357,38.76,56.441526315,35.348833333,122.355583333,104.869,4.0,154.0,333.0,8,9,4,0.88900000000001,1.2849999999999966,0.3670000000000044,5,9,9,130.55035964799998,2.9176957479999714,20,11.764805556,1332.0,51282.0,16.0,9.027008904130287,6
PIA,McLaren,9.0,4.5,15.0,107.522,106.926,106.785,41.745,55.307454545,37.7703,119.29825,105.016,7.0,82.0,179.0,5,6,7,0.4520000000000124,0.9819999999999992,0.7950000000000017,14,5,18,134.82275454499998,7.1900906449999695,13,8.707472222999996,1253.0,14678.0,49.0,9.395843517986275,7
HAD,Red Bull Racing,6.333333333333333,8.166666666666666,18.0,107.322,106.714,107.096,40.156625,54.246052631,35.027833333,110.590777777,105.823,10.0,52.0,128.0,4,5,10,0.2520000000000095,0.769999999999996,1.1060000000000088,7,3,7,129.43051096399998,1.797847063999967,1,0.0,1280.0,6656.0,100.0,9.986487445320753,8
LIN,Racing Bulls,6.0,6.0,8.5,108.234,107.294,107.176,40.563285714,56.171055555,34.2835,118.0903,105.143,8.0,20.0,59.0,9,10,11,1.1640000000000017,1.3499999999999943,1.186000000000007,8,7,5,131.017841269,3.38517736899999,9,7.499522223,472.0,1180.0,88.0,10.61804826235344,9
BOR,Audi,6.333333333333333,5.166666666666666,2.0,108.406,107.952,107.049,41.506333333,58.12175,37.385125,119.548,105.628,9.0,6.0,6.0,10,14,9,1.3360000000000127,2.007999999999996,1.0590000000000117,12,15,17,137.01320833300002,9.380544433000011,15,8.957222223000002,54.0,36.0,81.0,10.962780974722902,10
LAW,Racing Bulls,5.666666666666667,6.833333333333334,8.5,108.432,107.434,107.294,41.10225,58.1459375,36.265625,119.138285714,106.12,11.0,39.0,59.0,11,12,12,1.362000000000009,1.4899999999999949,1.304000000000002,11,16,14,135.5138125,7.881148599999989,12,8.547507937000006,649.0,2301.0,132.0,11.432187247778419,11
HUL,Audi,11.333333333333334,5.666666666666667,2.0,108.962,108.333,106.924,40.915545454,59.710466666,38.074933333,126.48,106.671,14.0,0.0,6.0,13,18,8,1.89200000000001,2.388999999999996,0.9340000000000116,10,21,19,138.700945453,11.068281552999991,22,15.889222223000004,84.0,0.0,112.0,12.028222047346908,12
