Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
ALB,Williams,12.0,6.0,0.0,81.819,80.973,80.623,33.425566666,35.108030303,27.5505625,95.607137931,80.658,19.0,5.0,11.0,19,17,19,2.7439999999999998,2.2439999999999998,2.6840000000000117,3,15,8,96.084159469,2.489198295999998,9,2.975032667999997,209.0,55.0,361.0
ALO,Aston Martin,12.333333333333334,6.166666666666667,0.0,81.55,81.348,80.393,35.48805,34.285333333,27.860695652,97.9255,79.808,16.0,1.0,1.0,17,18,18,2.4749999999999943,2.6189999999999998,2.4540000000000077,13,10,10,97.634078985,4.039117812000001,14,5.293394737,16.0,1.0,288.0
ANT,Mercedes,13.666666666666666,6.833333333333333,21.5,80.866,80.693,78.068,36.98976923,33.921586206,27.362689655,98.96064,77.479,4.0,204.0,358.0,9,14,3,1.7909999999999968,1.9639999999999986,0.1290000000000049,21,6,6,98.274045091,4.6790839180000035,16,6.328534736999998,1432.0,73032.0,12.0
BEA,Haas F1 Team,8.666666666666666,4.333333333333333,0.0,80.866,80.95,80.312,35.577583333,35.29075,29.962666666,99.119869565,80.233,17.0,18.0,21.0,12,16,17,1.7909999999999968,2.2210000000000036,2.3730000000000047,14,16,21,100.83099999900001,7.236038826000012,17,6.487764302000002,357.0,378.0,289.0
BOR,Audi,6.666666666666667,5.333333333333334,4.0,80.36,80.474,79.338,38.01525,34.369185185,29.931333333,99.634130434,79.105,14.0,10.0,10.0,6,11,11,1.2849999999999966,1.7450000000000045,1.399000000000001,22,11,20,102.315768518,8.720807344999997,18,7.002025171,140.0,100.0,154.0
BOT,Cadillac,11.333333333333334,5.666666666666667,0.0,80.866,81.442,81.299,34.585107142,35.411870967,29.8218,100.467481481,80.886,21.0,0.0,0.0,13,20,22,1.7909999999999968,2.712999999999994,3.3600000000000136,8,17,19,99.818778109,6.2238169359999915,20,7.835376217999993,0.0,0.0,462.0
COL,Alpine,6.666666666666667,4.333333333333334,2.0,80.866,82.105,80.055,35.758333333,37.182818181,28.4173,104.22325,79.027,13.0,19.0,61.0,11,22,15,1.7909999999999968,3.3760000000000048,2.116000000000014,15,22,13,101.35845151400001,7.763490341000008,22,11.591144736999993,793.0,1159.0,195.0
GAS,Alpine,7.0,4.0,2.0,81.704,80.816,79.723,35.9537,35.646166666,27.455,99.995368421,78.844,12.0,42.0,61.0,18,15,13,2.6289999999999907,2.0870000000000033,1.784000000000006,16,18,7,99.054866666,5.459905492999994,19,7.363263157999995,732.0,2562.0,156.0
HAD,Red Bull Racing,6.333333333333333,8.166666666666666,16.5,79.997,79.8,78.943,34.738133333,36.15168421,32.662263157,102.5435,77.856,8.0,60.0,151.0,4,6,8,0.921999999999997,1.070999999999998,1.0040000000000049,10,20,22,103.55208069999999,9.957119526999989,21,9.911394736999995,1208.0,9060.0,64.0
HAM,Ferrari,6.333333333333333,10.666666666666666,35.0,79.618,78.729,78.056,36.299318181,36.732307692,28.55824,92.632105263,77.219,2.0,159.0,285.0,3,1,2,0.5429999999999922,0.0,0.11700000000000443,19,21,14,101.589865873,7.994904699999992,1,0.0,570.0,45315.0,4.0
