Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,12.666666666666666,6.333333333333333,0.0,109.337,108.019,107.99,40.699533333,57.946388888,34.530411764,118.936888888,107.12,17.0,15.0,5.0,11.0
ALO,Aston Martin,12.0,6.0,0.0,,111.418,110.155,42.750666666,58.863705882,41.309444444,121.608875,110.002,21.0,19.0,1.0,1.0
ANT,Mercedes,11.0,5.5,29.0,107.603,105.944,105.99,43.4775,55.776588235,33.7164375,117.496,104.361,1.0,1.0,179.0,333.0
BEA,Haas F1 Team,8.666666666666666,4.333333333333333,0.0,109.01,107.792,107.92,45.161,59.540214285,38.869714285,114.412,106.779,16.0,14.0,18.0,21.0
BOR,Audi,6.333333333333333,5.166666666666666,2.0,108.406,107.952,107.049,41.506333333,58.12175,37.385125,119.548,105.628,9.0,8.0,6.0,6.0
BOT,Cadillac,12.666666666666666,6.333333333333333,0.0,109.839,109.199,108.644,36.832923076,58.107294117,36.370705882,119.348777777,107.823,19.0,18.0,0.0,0.0
COL,Alpine,8.0,5.0,1.5,109.403,107.147,107.904,43.439125,58.022166666,34.104222222,120.278777777,106.392,13.0,10.0,18.0,60.0
GAS,Alpine,7.666666666666667,4.333333333333334,1.5,109.712,107.36,107.949,38.4726,59.056923076,35.109615384,121.903428571,106.331,12.0,11.0,42.0,60.0
HAD,Red Bull Racing,6.333333333333333,8.166666666666666,18.0,107.322,106.714,107.096,40.156625,54.246052631,35.027833333,110.590777777,105.823,10.0,6.0,52.0,128.0
HAM,Ferrari,6.0,10.5,27.0,107.215,106.691,106.382,44.469916666,57.6535,35.9595,115.093,104.895,6.0,4.0,147.0,255.0
HUL,Audi,11.333333333333334,5.666666666666667,2.0,108.962,108.333,106.924,40.915545454,59.710466666,38.074933333,126.48,106.671,14.0,13.0,0.0,6.0
LAW,Racing Bulls,5.666666666666667,6.833333333333334,8.5,108.432,107.434,107.294,41.10225,58.1459375,36.265625,119.138285714,106.12,11.0,12.0,39.0,59.0
LEC,Ferrari,4.333333333333333,14.666666666666666,27.0,107.277,107.035,106.75,42.948666666,56.8654375,35.42775,115.681,104.893,5.0,2.0,108.0,255.0
LIN,Racing Bulls,6.0,6.0,8.5,108.234,107.294,107.176,40.563285714,56.171055555,34.2835,118.0903,105.143,8.0,9.0,20.0,59.0
NOR,McLaren,5.666666666666667,8.833333333333334,15.0,107.931,106.134,106.129,38.130076923,55.232,38.217125,114.243428571,104.801,3.0,7.0,97.0,179.0
OCO,Haas F1 Team,9.666666666666666,4.833333333333333,0.0,109.449,107.958,108.73,41.6225,58.424235294,35.997470588,125.2292,107.801,18.0,17.0,3.0,21.0
PER,Cadillac,11.666666666666666,5.833333333333333,0.0,110.226,109.596,108.99,38.335,56.215789473,35.380421052,118.404636363,107.971,20.0,21.0,0.0,0.0
PIA,McLaren,9.0,4.5,15.0,107.522,106.926,106.785,41.745,55.307454545,37.7703,119.29825,105.016,7.0,5.0,82.0,179.0
RUS,Mercedes,9.333333333333334,13.666666666666668,29.0,107.959,107.229,106.357,38.76,56.441526315,35.348833333,122.355583333,104.869,4.0,22.0,154.0,333.0
SAI,Williams,12.333333333333334,6.166666666666667,0.0,110.862,108.256,108.692,39.353307692,54.164944444,34.114411764,117.094111111,106.777,15.0,16.0,6.0,11.0
STR,Aston Martin,12.666666666666666,6.333333333333333,0.0,112.808,111.131,110.631,42.855692307,59.91825,37.079875,121.54,110.177,22.0,20.0,0.0,1.0
VER,Red Bull Racing,13.333333333333334,6.666666666666667,18.0,107.07,106.416,106.138,41.872375,54.053894736,34.245473684,115.72575,104.678,2.0,3.0,76.0,128.0
