Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,11.333333333333334,5.666666666666667,1.0,93.697,91.496,91.733,42.531230769,48.057666666,21.567,106.666583333,91.088,17.0,20.0,0.0,2.0
ALO,Aston Martin,11.666666666666666,5.833333333333333,0.0,,93.596,93.529,42.13455,46.7455,21.989958333,108.581263157,92.646,21.0,18.0,0.0,0.0
ANT,Mercedes,7.0,16.0,43.0,91.692,90.225,89.362,47.109173913,45.386107142,21.655821428,103.388473684,88.778,1.0,1.0,47.0,98.0
BEA,Haas F1 Team,6.0,8.0,8.0,92.9,91.498,91.558,43.9538,45.669714285,22.014214285,102.40295238,91.09,18.0,22.0,17.0,17.0
BOR,Audi,10.666666666666666,5.333333333333333,1.0,92.759,91.933,91.0,53.260666666,48.081545454,24.916545454,119.58525,90.274,9.0,13.0,2.0,2.0
BOT,Cadillac,10.666666666666666,5.333333333333333,0.0,94.49,92.615,92.503,43.9892,47.002678571,21.424035714,109.386375,92.33,20.0,19.0,0.0,0.0
COL,Alpine,8.0,4.5,5.0,93.361,92.438,91.759,43.00628,47.661535714,21.347107142,104.757090909,90.627,15.0,16.0,1.0,10.0
GAS,Alpine,5.666666666666667,6.833333333333334,5.0,92.978,91.734,91.082,41.00856,46.617310344,21.627517241,106.528666666,89.691,7.0,7.0,9.0,10.0
HAD,Red Bull Racing,9.333333333333334,6.666666666666667,6.0,92.803,91.759,91.094,45.154038461,46.109931034,21.571241379,106.243956521,89.978,8.0,12.0,4.0,12.0
HAM,Ferrari,6.333333333333333,10.666666666666666,27.0,92.04,90.98,90.383,46.753333333,49.164185185,22.05,104.465,89.567,6.0,6.0,33.0,67.0
HUL,Audi,11.0,5.5,1.0,92.798,91.441,90.658,42.662375,45.554074074,22.005074074,104.905045454,90.387,13.0,11.0,0.0,2.0
LAW,Racing Bulls,6.666666666666667,6.333333333333334,5.0,92.529,91.59,91.097,42.42,47.320533333,21.645833333,107.318541666,90.495,14.0,9.0,8.0,12.0
LEC,Ferrari,7.333333333333333,9.666666666666666,27.0,91.955,90.846,90.229,43.15096,46.994535714,22.093107142,107.622043478,89.405,4.0,3.0,34.0,67.0
LIN,Racing Bulls,8.0,4.0,5.0,92.665,,91.288,,69.262,38.967,,90.319,10.0,14.0,4.0,12.0
NOR,McLaren,11.666666666666666,5.833333333333333,5.0,91.798,90.649,90.6,45.334285714,46.78217647,24.024941176,108.705583333,89.409,5.0,5.0,15.0,18.0
OCO,Haas F1 Team,8.333333333333334,4.166666666666667,8.0,92.601,91.532,91.326,43.40737037,46.763433333,21.440466666,104.676208333,90.309,12.0,10.0,0.0,17.0
PER,Cadillac,10.333333333333334,5.166666666666667,0.0,94.221,93.689,92.54,47.314416666,45.573785714,22.538428571,106.5436,92.206,19.0,17.0,0.0,0.0
PIA,McLaren,13.333333333333334,6.666666666666667,5.0,91.865,90.133,90.364,42.56076923,45.652448275,21.447586206,105.411958333,89.132,3.0,2.0,3.0,18.0
RUS,Mercedes,9.333333333333334,13.666666666666668,43.0,91.666,90.338,89.616,47.3938,45.788275862,22.059,107.931045454,89.076,2.0,4.0,51.0,98.0
SAI,Williams,8.0,5.0,1.0,93.383,91.608,91.829,42.486538461,46.049066666,20.790466666,105.217166666,91.033,16.0,15.0,2.0,2.0
STR,Aston Martin,11.666666666666666,5.833333333333333,0.0,95.294,93.951,93.485,44.378,47.61847619,21.998,114.29,92.92,22.0,21.0,0.0,0.0
VER,Red Bull Racing,10.0,5.0,6.0,92.457,91.509,90.91,43.427846153,44.212275862,21.476103448,103.802416666,90.262,11.0,8.0,8.0,12.0
