Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
ALB,Williams,10.666666666666666,5.333333333333333,0.0,75.357,74.294,77.673,31.284888888,31.084166666,27.997916666,90.425777777,73.182,16.0,5.0,11.0,18,15,18,2.4080000000000013,2.727000000000004,2.7920000000000016,16,15,16,90.36697222,4.83432638699999,16,5.998777776999987,176.0,55.0,288.0
ALO,Aston Martin,11.0,5.5,0.0,74.511,76.014,77.449,30.6935,30.9912,30.221,90.5945,73.65,18.0,1.0,1.0,12,21,16,1.5619999999999976,4.447000000000003,2.567999999999998,11,13,20,91.9057,6.373054166999992,17,6.16749999999999,18.0,1.0,288.0
ANT,Mercedes,9.666666666666666,12.333333333333332,23.0,72.949,71.794,74.99,29.533727272,31.376933333,26.842533333,87.2452,71.296,3.0,219.0,379.0,1,5,3,0.0,0.22700000000000387,0.10899999999999466,4,17,6,87.75319393800001,2.220548105000006,6,2.8181999999999903,1137.0,83001.0,9.0
BEA,Haas F1 Team,11.0,5.5,0.0,74.874,74.728,77.137,31.825,30.856666666,30.230666666,89.8415,73.826,20.0,18.0,21.0,15,16,13,1.9249999999999972,3.1610000000000014,2.2560000000000002,17,11,21,92.912333332,7.379687498999999,15,5.41449999999999,420.0,378.0,260.0
BOR,Audi,7.666666666666667,3.8333333333333335,3.0,73.992,72.583,76.922,30.614555555,30.542583333,27.738363636,87.522875,72.079,9.0,10.0,12.0,9,9,12,1.0430000000000064,1.0160000000000053,2.040999999999997,10,7,13,88.895502524,3.3628566909999904,7,3.0958749999999924,108.0,120.0,108.0
BOT,Cadillac,13.333333333333334,6.666666666666667,0.0,75.58,75.472,77.71,30.867166666,30.568428571,27.442714285,89.139666666,74.371,21.0,0.0,0.0,19,19,20,2.6310000000000002,3.905000000000001,2.8289999999999935,13,8,9,88.878309522,3.3456636889999913,13,4.71266666599999,0.0,0.0,420.0
COL,Alpine,8.666666666666666,4.333333333333333,0.5,74.826,73.439,76.718,32.820714285,30.706666666,28.908555555,91.504857142,72.8,14.0,19.0,61.0,13,12,8,1.8769999999999953,1.8719999999999999,1.8370000000000033,19,9,17,92.43593650599999,6.9032906729999866,18,7.077857141999999,854.0,1159.0,112.0
GAS,Alpine,7.666666666666667,3.8333333333333335,0.5,73.911,72.578,76.895,31.084,30.122333333,27.588454545,88.6145,72.616,11.0,42.0,61.0,8,8,10,0.9620000000000033,1.01100000000001,2.013999999999996,15,4,11,88.79478787800001,3.2621420450000045,10,4.1875,671.0,2562.0,110.0
HAM,Ferrari,7.0,8.5,26.0,73.139,72.191,75.557,29.99375,29.592866666,27.522214285,87.032636363,71.494,5.0,169.0,307.0,4,7,7,0.18999999999999773,0.6240000000000094,0.6760000000000019,8,2,10,87.108830951,1.576185117999998,5,2.605636362999988,1535.0,51883.0,35.0
HUL,Audi,7.333333333333333,4.666666666666666,3.0,73.784,73.616,77.706,33.9792,30.237538461,27.851846153,92.0645,72.797,13.0,2.0,12.0,7,13,19,0.835000000000008,2.0490000000000066,2.825000000000003,20,5,14,92.068584614,6.535938780999999,19,7.637499999999989,156.0,24.0,247.0
LAW,Racing Bulls,6.666666666666667,5.333333333333334,3.5,74.861,73.136,76.909,29.857545454,31.416846153,27.875153846,88.986363636,71.733,8.0,43.0,66.0,14,11,11,1.9120000000000061,1.5690000000000026,2.028000000000006,5,18,15,89.149545453,3.616899619999998,12,4.559363635999986,528.0,2838.0,88.0
LEC,Ferrari,8.0,10.0,26.0,73.238,71.622,75.049,29.398,29.7073125,26.427333333,84.427,71.558,6.0,138.0,307.0,5,3,4,0.2890000000000015,0.05500000000000682,0.16800000000000637,3,3,2,85.532645833,0.0,1,0.0,1842.0,42366.0,24.0
LIN,Racing Bulls,7.0,4.0,3.5,74.285,72.737,76.886,29.987666666,30.924533333,26.101928571,85.935727272,72.185,10.0,23.0,66.0,10,10,9,1.3359999999999985,1.1700000000000017,2.0049999999999955,7,12,1,87.01412857,1.4814827369999932,2,1.5087272719999874,660.0,1518.0,90.0
NOR,McLaren,4.666666666666667,14.833333333333334,20.5,73.07,71.608,74.881,30.1025,29.190533333,26.491066666,86.536916666,71.163,1.0,128.0,220.0,2,2,1,0.12099999999999511,0.04100000000001103,0.0,9,1,3,85.78409999899999,0.2514541659999878,3,2.1099166659999895,220.0,28160.0,1.0
