Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,11.666666666666666,5.833333333333333,0.0,91.697,90.65,93.989,34.4394,44.048615384,28.733538461,106.1848,91.341,16.0,21.0,5.0,11.0
ALO,Aston Martin,12.333333333333334,6.166666666666667,0.0,92.957,92.91,96.301,36.50875,43.1494,30.4378,110.0655,93.025,22.0,18.0,1.0,1.0
ANT,Mercedes,11.333333333333334,5.666666666666667,29.0,89.473,88.387,91.607,41.809333333,43.607866666,27.806928571,102.991,88.111,1.0,15.0,171.0,302.0
BEA,Haas F1 Team,10.333333333333334,5.166666666666667,0.0,91.373,91.083,93.574,35.40825,43.342,30.474833333,106.402,90.501,14.0,12.0,18.0,21.0
BOR,Audi,7.333333333333333,3.6666666666666665,0.0,91.035,89.679,93.506,33.77325,43.381416666,29.401,104.573125,89.461,11.0,8.0,2.0,2.0
BOT,Cadillac,14.333333333333334,7.166666666666667,0.0,92.15,92.02,95.371,33.31275,43.745666666,30.423166666,105.2955,91.227,18.0,16.0,0.0,0.0
COL,Alpine,8.333333333333334,4.666666666666667,3.5,90.966,89.983,93.52,37.971571428,44.981666666,30.629666666,113.487428571,91.321,19.0,9.0,16.0,57.0
GAS,Alpine,6.666666666666667,6.333333333333334,3.5,92.195,89.482,93.88,33.794857142,44.427666666,29.930333333,107.683142857,90.063,12.0,10.0,41.0,57.0
HAD,Red Bull Racing,6.666666666666667,7.333333333333334,23.0,90.338,88.835,93.0,37.261545454,43.5245,30.938153846,106.571777777,88.746,5.0,5.0,42.0,115.0
HAM,Ferrari,5.333333333333333,15.166666666666666,19.5,89.26,88.376,91.908,34.44290909,44.078,29.163923076,106.1885,88.458,3.0,3.0,125.0,204.0
HUL,Audi,10.666666666666666,5.333333333333333,0.0,90.743,89.707,93.497,39.888777777,43.23325,30.387916666,102.584125,90.076,13.0,22.0,0.0,2.0
LAW,Racing Bulls,6.333333333333333,5.166666666666666,4.5,90.85,88.927,93.051,34.152666666,43.328416666,28.410545454,104.66175,89.716,10.0,6.0,30.0,44.0
LEC,Ferrari,9.0,4.5,19.5,89.859,88.703,92.158,34.955454545,42.920142857,28.963461538,105.318,88.286,2.0,1.0,79.0,204.0
LIN,Racing Bulls,6.666666666666667,4.333333333333334,4.5,91.339,89.33,93.572,34.514888888,44.6015,30.755272727,109.4345,89.305,9.0,7.0,14.0,44.0
NOR,McLaren,5.333333333333333,10.166666666666666,21.5,90.288,88.74,92.19,39.7505,42.750266666,29.519928571,104.775,88.877,6.0,4.0,79.0,159.0
OCO,Haas F1 Team,9.666666666666666,4.833333333333333,0.0,91.684,91.714,94.399,34.36675,44.3095,30.520333333,106.81275,90.68,17.0,13.0,3.0,21.0
PER,Cadillac,11.666666666666666,5.833333333333333,0.0,92.241,91.776,94.528,32.7135,43.2645,29.507,103.797,91.451,20.0,14.0,0.0,0.0
PIA,McLaren,7.0,8.5,21.5,90.147,88.772,92.223,33.478666666,42.639583333,28.72590909,102.8595,89.032,8.0,11.0,80.0,159.0
RUS,Mercedes,9.333333333333334,13.666666666666668,29.0,89.938,88.733,91.977,34.897363636,43.735266666,28.016214285,105.0893,88.481,4.0,2.0,131.0,302.0
SAI,Williams,10.666666666666666,5.333333333333333,0.0,91.684,90.197,94.186,33.838555555,43.458583333,29.16675,105.490333333,90.623,15.0,17.0,6.0,11.0
STR,Aston Martin,13.666666666666666,6.833333333333333,0.0,93.13,92.988,95.028,35.6265,45.0022,31.5238,112.035,92.863,21.0,19.0,0.0,1.0
VER,Red Bull Racing,8.0,10.0,23.0,90.24,88.697,92.393,36.678555555,41.946333333,28.841363636,105.502125,88.893,7.0,20.0,73.0,115.0
