Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints
ALB,Williams,11.333333333333334,5.666666666666667,0.0,,83.853,84.437,35.413357142,33.549903225,32.232774193,99.452518518,84.356,18.0,5.0,11.0
ALO,Aston Martin,8.333333333333334,4.166666666666667,1.0,85.78,85.027,84.919,34.418066666,35.476611111,34.394444444,103.892933333,85.15,21.0,3.0,3.0
ANT,Mercedes,7.666666666666667,11.333333333333334,27.0,83.644,82.7,82.58,34.028964285,31.623375,31.26078125,94.248851851,82.093,7.0,242.0,425.0
BEA,Haas F1 Team,13.333333333333334,6.666666666666667,0.0,84.646,83.37,83.585,39.54532,35.463275862,34.818827586,99.3677,82.756,12.0,18.0,21.0
BOR,Audi,8.0,4.0,3.0,84.006,83.776,83.298,36.135526315,35.908681818,36.242727272,109.085210526,82.517,11.0,10.0,16.0
BOT,Cadillac,13.333333333333334,6.666666666666667,0.0,85.984,85.149,85.004,35.73656,33.994714285,34.35825,104.09688,84.364,19.0,0.0,0.0
COL,Alpine,9.666666666666666,4.833333333333333,0.5,84.028,83.619,83.101,38.36776,36.072321428,33.175785714,103.895173913,82.22,8.0,19.0,63.0
GAS,Alpine,7.666666666666667,3.8333333333333335,0.5,,83.773,82.898,35.289083333,33.894296296,32.676333333,102.153833333,81.786,1.0,44.0,63.0
HAD,Red Bull Racing,16.666666666666668,12.333333333333334,16.0,,,,,,,,,,68.0,186.0
HAM,Ferrari,7.0,8.5,22.0,83.181,83.016,82.445,39.779208333,34.857518518,33.419703703,101.040714285,82.011,5.0,183.0,338.0
HUL,Audi,7.0,4.5,3.0,84.626,83.732,83.126,35.12444,33.082642857,33.3825,101.9868,82.779,13.0,6.0,16.0
LAW,Racing Bulls,7.0,5.5,2.5,83.433,83.66,83.203,34.085571428,32.035027027,31.764054054,94.185575757,82.821,14.0,49.0,66.0
LEC,Ferrari,6.333333333333333,9.166666666666666,22.0,83.008,82.679,82.708,38.889538461,33.601793103,33.981551724,96.9735,82.004,4.0,155.0,338.0
LIN,Racing Bulls,7.333333333333333,4.166666666666666,2.5,83.802,83.349,82.724,32.08773913,33.962923076,32.1815,98.624086956,82.286,10.0,23.0,66.0
NOR,McLaren,9.0,17.0,29.0,83.719,82.943,82.625,36.600636363,33.9332,32.3926,100.414523809,82.256,9.0,159.0,263.0
OCO,Haas F1 Team,11.666666666666666,5.833333333333333,0.0,85.852,84.407,84.02,42.102444444,34.403033333,34.655133333,102.582913043,83.454,16.0,3.0,21.0
PER,Cadillac,12.0,6.0,0.0,,85.082,85.031,37.68296,34.282785714,32.972071428,99.407782608,84.595,20.0,0.0,0.0
PIA,McLaren,11.333333333333334,5.666666666666667,29.0,84.184,83.028,82.773,38.243,34.651307692,34.982,105.508818181,81.966,3.0,104.0,263.0
RUS,Mercedes,8.333333333333334,7.166666666666667,27.0,83.312,82.559,82.219,38.877555555,33.955419354,33.149225806,103.931,81.846,2.0,183.0,425.0
SAI,Williams,11.333333333333334,5.666666666666667,0.0,84.827,83.9,83.875,35.221962962,34.4296,33.2244,103.164481481,83.453,15.0,6.0,11.0
STR,Aston Martin,11.0,5.5,1.0,86.066,85.253,85.555,37.496708333,36.456777777,35.413037037,105.288954545,85.222,22.0,0.0,3.0
TSU,,11.0,5.5,,84.571,83.455,83.817,37.457730769,35.112827586,34.448689655,105.5596,83.755,17.0,0.0,
VER,Red Bull Racing,8.0,13.0,16.0,,83.377,82.569,38.100444444,33.315733333,32.9794,100.32208,82.07,6.0,112.0,186.0
