Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,10.666666666666666,5.333333333333333,0.0,75.357,74.294,77.673,31.284888888,31.084166666,27.997916666,90.425777777,73.182,16.0,17.0,5.0,11.0
ALO,Aston Martin,11.0,5.5,0.0,74.511,76.014,77.449,30.6935,30.9912,30.221,90.5945,73.65,18.0,9.0,1.0,1.0
ANT,Mercedes,9.666666666666666,12.333333333333332,23.0,72.949,71.794,74.99,29.533727272,31.376933333,26.842533333,87.2452,71.296,3.0,2.0,219.0,379.0
BEA,Haas F1 Team,11.0,5.5,0.0,74.874,74.728,77.137,31.825,30.856666666,30.230666666,89.8415,73.826,20.0,21.0,18.0,21.0
BOR,Audi,7.666666666666667,3.8333333333333335,3.0,73.992,72.583,76.922,30.614555555,30.542583333,27.738363636,87.522875,72.079,9.0,13.0,10.0,12.0
BOT,Cadillac,13.333333333333334,6.666666666666667,0.0,75.58,75.472,77.71,30.867166666,30.568428571,27.442714285,89.139666666,74.371,21.0,18.0,0.0,0.0
COL,Alpine,8.666666666666666,4.333333333333333,0.5,74.826,73.439,76.718,32.820714285,30.706666666,28.908555555,91.504857142,72.8,14.0,14.0,19.0,61.0
GAS,Alpine,7.666666666666667,3.8333333333333335,0.5,73.911,72.578,76.895,31.084,30.122333333,27.588454545,88.6145,72.616,11.0,10.0,42.0,61.0
HAD,Red Bull Racing,6.666666666666667,7.333333333333334,24.5,,,,,,,,,,,68.0,177.0
HAM,Ferrari,7.0,8.5,26.0,73.139,72.191,75.557,29.99375,29.592866666,27.522214285,87.032636363,71.494,5.0,4.0,169.0,307.0
HUL,Audi,7.333333333333333,4.666666666666666,3.0,73.784,73.616,77.706,33.9792,30.237538461,27.851846153,92.0645,72.797,13.0,8.0,2.0,12.0
LAW,Racing Bulls,6.666666666666667,5.333333333333334,3.5,74.861,73.136,76.909,29.857545454,31.416846153,27.875153846,88.986363636,71.733,8.0,7.0,43.0,66.0
LEC,Ferrari,8.0,10.0,26.0,73.238,71.622,75.049,29.398,29.7073125,26.427333333,84.427,71.558,6.0,5.0,138.0,307.0
LIN,Racing Bulls,7.0,4.0,3.5,74.285,72.737,76.886,29.987666666,30.924533333,26.101928571,85.935727272,72.185,10.0,12.0,23.0,66.0
NOR,McLaren,4.666666666666667,14.833333333333334,20.5,73.07,71.608,74.881,30.1025,29.190533333,26.491066666,86.536916666,71.163,1.0,1.0,128.0,220.0
OCO,Haas F1 Team,11.0,5.5,0.0,74.897,73.893,77.138,29.245125,30.9945,28.96025,88.559625,73.137,15.0,19.0,3.0,21.0
PER,Cadillac,14.0,7.0,0.0,75.7,75.545,77.462,28.8092,31.510428571,27.710142857,88.313,74.6,22.0,15.0,0.0,0.0
PIA,McLaren,11.666666666666666,5.833333333333333,20.5,73.608,71.666,75.324,29.919083333,30.4266,26.628066666,86.731,71.305,4.0,6.0,92.0,220.0
RUS,Mercedes,9.666666666666666,7.833333333333333,23.0,73.074,71.567,74.936,30.794928571,31.353294117,26.76017647,89.280857142,71.265,2.0,3.0,160.0,379.0
SAI,Williams,11.333333333333334,5.666666666666667,0.0,76.345,74.738,77.431,36.288833333,32.098571428,29.953714285,98.932,73.574,17.0,16.0,6.0,11.0
STR,Aston Martin,11.0,5.5,0.0,75.199,75.391,77.713,32.584,32.7676,26.9856,93.02075,73.818,19.0,20.0,0.0,1.0
VER,Red Bull Racing,6.666666666666667,12.333333333333334,24.5,74.325,72.094,75.443,30.922333333,30.7468,27.251857142,88.678818181,71.618,7.0,22.0,109.0,177.0
