Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
ALB,Williams,11.333333333333334,5.666666666666667,0.0,84.106,83.853,84.437,35.413357142,33.549903225,32.232774193,99.452518518,84.356,18.0,5.0,11.0,10,16,18,1.097999999999999,1.293999999999997,2.2180000000000035,8,5,4,101.19603456,4.282914025000011,7,5.26694276100001,198.0,55.0,324.0
ALO,Aston Martin,8.333333333333334,4.166666666666667,1.0,85.78,85.027,84.919,34.418066666,35.476611111,34.394444444,103.892933333,85.15,21.0,3.0,3.0,19,19,19,2.7720000000000056,2.4680000000000035,2.700000000000003,4,19,16,104.289122221,7.376001686000009,15,9.707357576000007,63.0,9.0,399.0
ANT,Mercedes,7.666666666666667,11.333333333333334,27.0,83.644,82.7,82.58,34.028964285,31.623375,31.26078125,94.248851851,82.093,7.0,242.0,425.0,5,3,4,0.6360000000000099,0.14100000000000534,0.3610000000000042,2,1,1,96.91312053499999,0.0,2,0.06327609400000256,2975.0,102850.0,28.0
BEA,Haas F1 Team,13.333333333333334,6.666666666666667,0.0,84.646,83.37,83.585,39.54532,35.463275862,34.818827586,99.3677,82.756,12.0,18.0,21.0,17,8,14,1.6380000000000052,0.811000000000007,1.3659999999999997,20,18,19,109.82742344799999,12.914302913,5,5.182124243000004,252.0,378.0,168.0
BOR,Audi,8.0,4.0,3.0,84.006,83.776,83.298,36.135526315,35.908681818,36.242727272,109.085210526,82.517,11.0,10.0,16.0,8,15,13,0.9980000000000047,1.2169999999999987,1.0790000000000077,10,20,22,108.28693540500001,11.373814870000018,22,14.899634769000002,176.0,160.0,143.0
BOT,Cadillac,13.333333333333334,6.666666666666667,0.0,85.984,85.149,85.004,35.73656,33.994714285,34.35825,104.09688,84.364,19.0,0.0,0.0,21,21,20,2.975999999999999,2.5900000000000034,2.785000000000011,9,11,15,104.089524285,7.176403750000006,18,9.911304243000004,0.0,0.0,380.0
COL,Alpine,9.666666666666666,4.833333333333333,0.5,84.028,83.619,83.101,38.36776,36.072321428,33.175785714,103.895173913,82.22,8.0,19.0,63.0,9,11,10,1.0200000000000102,1.0600000000000023,0.882000000000005,17,21,10,107.615867142,10.702746607000009,16,9.709598155999998,504.0,1197.0,80.0
GAS,Alpine,7.666666666666667,3.8333333333333335,0.5,84.106,83.773,82.898,35.289083333,33.894296296,32.676333333,102.153833333,81.786,1.0,44.0,63.0,11,14,9,1.097999999999999,1.2139999999999986,0.679000000000002,7,7,6,101.859712962,4.946592427000013,12,7.968257575999999,63.0,2772.0,9.0
HAM,Ferrari,7.0,8.5,22.0,83.181,83.016,82.445,39.779208333,34.857518518,33.419703703,101.040714285,82.011,5.0,183.0,338.0,2,5,2,0.17300000000000182,0.45700000000000784,0.2259999999999991,21,16,13,108.056430554,11.143310019000012,10,6.855138528000012,1690.0,61854.0,10.0
HUL,Audi,7.0,4.5,3.0,84.626,83.732,83.126,35.12444,33.082642857,33.3825,101.9868,82.779,13.0,6.0,16.0,16,13,11,1.6180000000000092,1.1730000000000018,0.9070000000000107,5,3,12,101.58958285700001,4.67646232200002,11,7.801224243000007,208.0,96.0,143.0
