Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart,Predicted_Result,Predicted_Pos
ANT,Mercedes,7.0,16.0,38.0,94.363,93.662,92.797,40.447473684,41.956869565,38.213565217,107.108230769,91.835,2.0,267.0,468.0,2,1,1,0.2860000000000013,0.0,0.0,9,7,7,120.617908466,3.3770011939999875,4,9.773397435999996,936.0,124956.0,2.0,5.713158262245328,1
LEC,Ferrari,12.333333333333334,6.166666666666667,15.0,94.536,93.775,92.963,39.386227272,40.70752,37.14716,113.1985,92.019,5.0,155.0,346.0,3,2,2,0.4590000000000032,0.1129999999999995,0.1659999999999968,5,2,1,117.240907272,0.0,15,15.86366666699999,1730.0,53630.0,10.0,6.6948515612006245,2
VER,Red Bull Racing,8.333333333333334,11.666666666666668,10.5,94.703,94.063,93.172,39.876526315,41.732636363,37.480363636,107.286533333,91.964,3.0,127.0,204.0,5,6,5,0.6260000000000048,0.4009999999999962,0.375,6,6,2,119.08952631399998,1.8486190419999813,5,9.951699999999988,612.0,25908.0,15.0,7.079242695263395,3
NOR,McLaren,10.0,11.0,27.5,94.947,94.938,93.033,32.449,40.8465,44.3175,120.105,91.824,1.0,171.0,287.0,6,10,4,0.8700000000000045,1.2759999999999962,0.2360000000000042,1,3,20,117.613,0.3720927279999984,20,22.770166667,287.0,49077.0,4.0,7.085094441465054,4
PIA,McLaren,6.333333333333333,8.166666666666666,27.5,95.148,94.2,92.986,38.672238095,43.736541666,38.737565217,115.187882352,92.294,7.0,116.0,287.0,8,7,3,1.070999999999998,0.5379999999999967,0.1890000000000071,3,16,9,121.146344978,3.9054377060000007,16,17.853049018999997,2009.0,33292.0,21.0,7.55620387165116,5
RUS,Mercedes,6.666666666666667,12.333333333333334,38.0,94.077,93.999,93.499,43.684454545,43.102958333,37.698583333,108.9863125,92.149,6.0,201.0,468.0,1,5,6,0.0,0.3369999999999891,0.7019999999999982,19,15,4,124.485996211,7.245088938999999,7,11.65147916699999,2808.0,94068.0,36.0,7.681621888508568,6
HAM,Ferrari,7.333333333333333,7.666666666666666,15.0,94.62,93.811,94.284,41.7212,43.010045454,38.399227272,108.232214285,92.013,4.0,191.0,346.0,4,3,9,0.5430000000000064,0.1490000000000009,1.487000000000009,12,13,8,123.130472726,5.889565453999992,6,10.897380951999992,1384.0,66086.0,36.0,8.076721730336873,7
LAW,Racing Bulls,9.0,4.5,2.5,95.539,94.938,93.902,44.354294117,43.01595,39.2398,115.643916666,92.316,8.0,51.0,75.0,10,11,7,1.4620000000000033,1.2759999999999962,1.105000000000004,20,14,17,126.610044117,9.369136845,19,18.30908333299999,600.0,3825.0,56.0,9.400166219294384,8
HUL,Audi,8.0,4.0,2.0,95.529,95.06,93.933,41.692526315,42.100727272,38.92940909,111.678142857,93.223,11.0,6.0,16.0,9,13,8,1.4519999999999982,1.397999999999996,1.13600000000001,11,9,14,122.72266267700002,5.481755405000016,12,14.343309523999991,176.0,96.0,88.0,10.236426039200124,9
LIN,Racing Bulls,6.666666666666667,5.333333333333334,2.5,95.033,93.89,94.505,43.131846153,45.1945,38.987214285,97.334833333,93.041,10.0,29.0,75.0,7,4,14,0.9560000000000032,0.2279999999999944,1.7079999999999984,17,20,15,127.313560438,10.072653165999997,1,0.0,750.0,2175.0,140.0,10.358883680491216,10
BOR,Audi,8.0,4.0,2.0,95.652,95.17,94.288,40.899090909,41.331833333,38.753833333,111.14717647,93.388,12.0,10.0,16.0,11,14,10,1.5750000000000028,1.5079999999999956,1.4909999999999997,10,5,10,120.984757575,3.743850303000002,10,13.812343137,192.0,160.0,120.0,11.123085051117314,11
COL,Alpine,7.666666666666667,4.833333333333334,4.5,95.933,95.886,94.346,42.494578947,43.962272727,37.597333333,106.143785714,92.903,9.0,21.0,62.0,14,15,12,1.8560000000000088,2.223999999999989,1.5490000000000066,16,18,3,124.054185007,6.813277735,2,8.808952380999997,558.0,1302.0,108.0,11.174017413234514,12
OCO,Haas F1 Team,11.666666666666666,5.833333333333333,0.0,95.834,94.867,94.43,39.92,41.262923076,39.199884615,110.830277777,93.667,13.0,3.0,21.0,13,9,13,1.757000000000005,1.2049999999999983,1.6330000000000098,7,4,16,120.382807691,3.141900419000009,9,13.495444444,273.0,63.0,169.0,11.74728199473163,13
TSU,,7.0,4.0,,96.939,94.758,94.565,42.1925,43.86364,38.76272,111.25575,94.084,15.0,1.0,,17,8,15,2.8619999999999948,1.0959999999999894,1.768000000000001,15,17,11,124.81886,7.577952728,11,13.920916667,,,225.0,12.549650998649188,14
GAS,Alpine,6.0,6.0,4.5,95.757,94.959,94.971,39.225647058,42.24915,38.78465,106.171846153,93.753,14.0,41.0,62.0,12,12,16,1.6800000000000068,1.296999999999997,2.1740000000000066,4,10,12,120.259447058,3.018539786000005,3,8.837012819999998,868.0,2542.0,224.0,12.798570814576898,15
ALB,Williams,11.333333333333334,5.666666666666667,0.0,97.591,96.936,94.288,37.676368421,41.973318181,37.856523809,112.443875,95.532,16.0,5.0,11.0,18,18,11,3.513999999999996,3.274000000000001,1.4909999999999997,2,8,5,117.506210411,0.2653031390000109,14,15.109041667,176.0,55.0,176.0,13.205186149232558,16
ALO,Aston Martin,10.666666666666666,5.333333333333333,1.0,96.473,96.78,95.02,41.8375,39.3448125,37.890066666,115.374846153,95.388,18.0,3.0,3.0,15,17,17,2.396000000000001,3.117999999999995,2.222999999999999,13,1,6,119.072379166,1.8314718939999888,17,18.040012819999987,54.0,9.0,306.0,15.031299299278745,17
SAI,Williams,9.666666666666666,4.833333333333333,0.0,96.87,96.291,95.464,43.57290909,42.5664,38.816,112.324625,95.312,17.0,6.0,11.0,16,16,18,2.7930000000000064,2.6289999999999907,2.6670000000000016,18,11,13,124.95530909,7.714401818000013,13,14.989791666999992,187.0,66.0,306.0,15.040352672960731,18
PER,Cadillac,11.0,5.5,0.0,98.15,97.195,96.441,42.012714285,44.47975,39.967608695,110.003857142,95.913,19.0,0.0,0.0,19,19,19,4.073000000000008,3.532999999999987,3.6440000000000055,14,19,19,126.46007298,9.219165708000006,8,12.669023808999995,0.0,0.0,361.0,16.872979128567895,19
BOT,Cadillac,12.333333333333334,6.166666666666667,0.0,98.818,97.727,96.67,40.184142857,42.835956521,39.632347826,115.595235294,98.011,20.0,0.0,0.0,20,20,20,4.741,4.064999999999998,3.8730000000000047,8,12,18,122.652447204,5.411539931999997,18,18.260401961,0.0,0.0,400.0,17.753988747323348,20
