Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints
ALB,Williams,11.333333333333334,5.666666666666667,0.0,106.939,106.123,106.076,45.213619047,50.217625,29.471791666,119.185722222,105.001,13.0,5.0,11.0
ALO,Aston Martin,10.666666666666666,5.333333333333333,1.0,107.835,107.889,106.512,45.890375,49.615444444,28.184875,125.471142857,106.593,19.0,3.0,3.0
ANT,Mercedes,7.0,16.0,38.0,106.265,103.899,104.273,48.489928571,50.7454375,29.8256875,116.1332,105.504,16.0,292.0,503.0
BEA,Haas F1 Team,12.0,6.0,0.0,106.994,106.801,105.692,46.807375,49.469666666,27.231,122.674,104.775,11.0,18.0,21.0
BOR,Audi,8.0,4.0,2.0,106.688,105.794,105.854,46.955761904,50.596521739,29.54773913,121.395411764,105.799,17.0,10.0,17.0
BOT,Cadillac,12.333333333333334,6.166666666666667,0.0,109.315,106.737,108.587,42.239304347,49.612076923,31.255384615,119.030333333,108.29,22.0,0.0,0.0
COL,Alpine,7.666666666666667,4.833333333333334,4.5,107.523,105.479,105.592,47.1121,49.415826086,28.998782608,119.692823529,104.963,10.0,27.0,68.0
GAS,Alpine,6.0,6.0,4.5,107.043,104.843,104.637,48.45995,49.19447826,28.450434782,119.814588235,104.047,7.0,41.0,68.0
HAM,Ferrari,7.333333333333333,7.666666666666666,15.0,105.824,104.665,104.033,43.409210526,47.959090909,31.761318181,117.223058823,103.858,6.0,191.0,358.0
HUL,Audi,8.0,4.0,2.0,106.871,105.854,105.998,47.306294117,48.1692,30.7936,119.317785714,105.92,18.0,7.0,17.0
LAW,Racing Bulls,9.0,4.5,2.5,106.44,105.681,106.222,46.507227272,49.34496,28.337041666,117.944,104.86,12.0,59.0,77.0
LEC,Ferrari,12.333333333333334,6.166666666666667,15.0,105.791,104.473,104.544,44.003809523,49.638086956,29.968434782,116.768941176,103.363,2.0,167.0,358.0
LIN,Racing Bulls,6.666666666666667,5.333333333333334,2.5,106.601,106.391,106.271,45.057666666,54.541333333,27.691,106.391,105.106,15.0,31.0,77.0
NOR,McLaren,10.0,11.0,27.5,106.981,104.831,104.899,44.254947368,46.816318181,29.238590909,115.235058823,103.672,5.0,186.0,306.0
OCO,Haas F1 Team,11.666666666666666,5.833333333333333,0.0,106.624,105.29,105.918,47.857636363,50.68888,29.180458333,120.5865,105.016,14.0,3.0,21.0
PER,Cadillac,11.0,5.5,0.0,107.253,105.76,106.004,45.5683,48.835652173,29.270565217,116.495882352,106.658,20.0,0.0,0.0
PIA,McLaren,6.333333333333333,8.166666666666666,27.5,106.398,104.857,104.746,42.669789473,49.437954545,33.336363636,116.1786875,103.364,3.0,120.0,306.0
RUS,Mercedes,6.666666666666667,12.333333333333334,38.0,105.387,103.347,104.021,45.22895,48.250826086,29.578521739,116.04817647,102.526,1.0,211.0,503.0
SAI,Williams,9.666666666666666,4.833333333333333,0.0,106.893,106.221,105.605,44.222789473,49.185714285,30.749523809,115.643866666,104.566,9.0,6.0,11.0
STR,Aston Martin,13.333333333333334,6.666666666666667,1.0,108.547,107.403,109.279,45.478761904,50.344869565,31.71973913,119.678941176,107.337,21.0,0.0,3.0
TSU,,7.0,4.0,,,,,,,,,,,1.0,
VER,Red Bull Racing,8.333333333333334,11.666666666666668,10.5,105.787,104.174,103.922,45.7532,48.759913043,28.685434782,119.113777777,104.081,8.0,145.0,230.0
