Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,12.0,6.0,0.0,81.819,80.973,80.623,33.425566666,35.108030303,27.5505625,95.607137931,80.658,19.0,17.0,5.0,11.0
ALO,Aston Martin,12.333333333333334,6.166666666666667,0.0,81.55,81.348,80.393,35.48805,34.285333333,27.860695652,97.9255,79.808,16.0,14.0,1.0,1.0
ANT,Mercedes,13.666666666666666,6.833333333333333,21.5,,80.693,78.068,36.98976923,33.921586206,27.362689655,98.96064,77.479,4.0,3.0,204.0,358.0
BEA,Haas F1 Team,8.666666666666666,4.333333333333333,0.0,,80.95,80.312,35.577583333,35.29075,29.962666666,99.119869565,80.233,17.0,19.0,18.0,21.0
BOR,Audi,6.666666666666667,5.333333333333334,4.0,80.36,80.474,79.338,38.01525,34.369185185,29.931333333,99.634130434,79.105,14.0,11.0,10.0,10.0
BOT,Cadillac,11.333333333333334,5.666666666666667,0.0,,81.442,81.299,34.585107142,35.411870967,29.8218,100.467481481,80.886,21.0,22.0,0.0,0.0
COL,Alpine,6.666666666666667,4.333333333333334,2.0,,82.105,80.055,35.758333333,37.182818181,28.4173,104.22325,79.027,13.0,15.0,19.0,61.0
GAS,Alpine,7.0,4.0,2.0,81.704,80.816,79.723,35.9537,35.646166666,27.455,99.995368421,78.844,12.0,12.0,42.0,61.0
HAD,Red Bull Racing,6.333333333333333,8.166666666666666,16.5,79.997,79.8,78.943,34.738133333,36.15168421,32.662263157,102.5435,77.856,8.0,6.0,60.0,151.0
HAM,Ferrari,6.333333333333333,10.666666666666666,35.0,79.618,78.729,78.056,36.299318181,36.732307692,28.55824,92.632105263,77.219,2.0,5.0,159.0,285.0
HUL,Audi,11.666666666666666,5.833333333333333,4.0,80.623,80.125,79.16,33.77116,34.589689655,27.676862068,96.17504,78.686,10.0,9.0,0.0,10.0
LAW,Racing Bulls,6.0,7.0,8.0,80.866,80.041,79.088,36.28488,33.599344827,26.556034482,96.5758,78.765,11.0,8.0,39.0,61.0
LEC,Ferrari,7.0,16.0,35.0,79.075,78.877,78.291,31.834,34.146862068,29.351103448,93.798375,77.445,3.0,4.0,126.0,285.0
LIN,Racing Bulls,6.0,6.0,8.0,80.76,80.253,79.895,34.09584,34.174413793,28.658142857,93.887304347,78.281,9.0,10.0,22.0,61.0
NOR,McLaren,5.666666666666667,8.833333333333334,14.0,81.024,79.228,77.939,33.80037037,32.935866666,26.858724137,94.211807692,77.207,1.0,1.0,103.0,195.0
OCO,Haas F1 Team,10.0,5.0,0.0,81.051,80.557,80.295,36.522826086,34.486884615,27.291,98.350826086,79.734,15.0,16.0,3.0,21.0
PER,Cadillac,11.666666666666666,5.833333333333333,0.0,82.089,81.792,,34.189083333,35.82925,28.357888888,95.351318181,81.322,22.0,21.0,0.0,0.0
PIA,McLaren,8.666666666666666,4.333333333333333,14.0,,80.101,78.438,34.805916666,33.520666666,29.601407407,95.75740909,77.684,5.0,20.0,92.0,195.0
RUS,Mercedes,8.0,13.0,21.5,80.066,79.662,78.541,36.181115384,33.166,26.52975862,94.97948,77.76,7.0,7.0,154.0,358.0
SAI,Williams,11.0,5.5,0.0,83.734,81.426,80.66,34.617642857,34.269096774,27.1521,93.233961538,80.621,18.0,18.0,6.0,11.0
STR,Aston Martin,13.0,6.5,0.0,83.471,,80.933,,,,,80.659,20.0,13.0,0.0,1.0
VER,Red Bull Racing,12.666666666666666,6.333333333333333,16.5,79.559,79.421,78.656,32.278666666,32.698037037,28.940814814,93.863375,77.725,6.0,2.0,91.0,151.0
