Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,DriverPoints,ConstructorPoints,FP1_Rank,FP2_Rank,FP3_Rank,FP1_DeltaToFastest,FP2_DeltaToFastest,FP3_DeltaToFastest,Sector1_Rank,Sector2_Rank,Sector3_Rank,CombinedSectorTime,CombinedSectorDelta,LapTime_Rank,DeltaToFastestLap,StartXConst,DriXConst,FP3XStart
ALB,Williams,11.333333333333334,5.666666666666667,0.0,106.939,106.123,106.076,45.213619047,50.217625,29.471791666,119.185722222,105.001,13.0,5.0,11.0,13,15,16,1.5519999999999925,2.7760000000000105,2.1539999999999964,8,16,11,124.90303571300001,4.59317925500001,13,12.79472222199999,143.0,55.0,208.0
ALO,Aston Martin,10.666666666666666,5.333333333333333,1.0,107.835,107.889,106.512,45.890375,49.615444444,28.184875,125.471142857,106.593,19.0,3.0,3.0,19,21,19,2.4479999999999933,4.542000000000002,2.5900000000000034,13,14,3,123.690694444,3.380837986000003,21,19.080142857,57.0,9.0,361.0
ANT,Mercedes,7.0,16.0,38.0,106.265,103.899,104.273,48.489928571,50.7454375,29.8256875,116.1332,105.504,16.0,292.0,503.0,5,2,4,0.8780000000000001,0.5520000000000067,0.3509999999999991,21,20,14,129.061053571,8.751197113000003,5,9.742199999999997,8048.0,146876.0,64.0
BEA,Haas F1 Team,12.0,6.0,0.0,106.994,106.801,105.692,46.807375,49.469666666,27.231,122.674,104.775,11.0,18.0,21.0,15,19,11,1.6069999999999993,3.4540000000000077,1.769999999999996,15,12,1,123.508041666,3.198185207999998,20,16.283,231.0,378.0,121.0
BOR,Audi,8.0,4.0,2.0,106.688,105.794,105.854,46.955761904,50.596521739,29.54773913,121.395411764,105.799,17.0,10.0,17.0,10,13,12,1.301000000000002,2.4470000000000027,1.9320000000000022,16,18,12,127.100022773,6.790166315000008,19,15.004411763999997,289.0,170.0,204.0
BOT,Cadillac,12.333333333333334,6.166666666666667,0.0,109.315,106.737,108.587,42.239304347,49.612076923,31.255384615,119.030333333,108.29,22.0,0.0,0.0,21,18,20,3.9279999999999973,3.3900000000000006,4.665000000000006,1,13,18,123.10676588499999,2.7969094269999886,11,12.639333332999996,0.0,0.0,440.0
COL,Alpine,7.666666666666667,4.833333333333334,4.5,107.523,105.479,105.592,47.1121,49.415826086,28.998782608,119.692823529,104.963,10.0,27.0,68.0,18,10,9,2.1359999999999957,2.132000000000005,1.6700000000000017,17,10,7,125.526708694,5.216852236000008,16,13.30182352899999,680.0,1836.0,90.0
GAS,Alpine,6.0,6.0,4.5,107.043,104.843,104.637,48.45995,49.19447826,28.450434782,119.814588235,104.047,7.0,41.0,68.0,16,7,6,1.656000000000006,1.4960000000000093,0.7150000000000034,20,8,5,126.104863042,5.7950065840000065,17,13.423588234999997,476.0,2788.0,42.0
HAM,Ferrari,7.333333333333333,7.666666666666666,15.0,105.824,104.665,104.033,43.409210526,47.959090909,31.761318181,117.223058823,103.858,6.0,191.0,358.0,4,5,3,0.4369999999999976,1.318000000000012,0.1110000000000042,3,2,20,123.12961961600001,2.819763158000015,9,10.832058822999997,2148.0,68378.0,18.0
HUL,Audi,8.0,4.0,2.0,106.871,105.854,105.998,47.306294117,48.1692,30.7936,119.317785714,105.92,18.0,7.0,17.0,11,14,14,1.4839999999999947,2.507000000000005,2.0760000000000076,18,3,17,126.269094117,5.959237658999996,14,12.92678571399999,306.0,119.0,252.0
