Driver,Constructor,AveragePositionFromLast3Races,AveragePointsFromLast3Races,ConstructorAveragePointFromLast3Races,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_Laptime(s),Qualifying_Time(s),Starting_Pos,Race_Result,DriverPoints,ConstructorPoints
ALB,Williams,11.333333333333334,5.666666666666667,0.0,97.591,96.936,,37.676368421,41.973318181,37.856523809,112.443875,95.532,16.0,15.0,5.0,11.0
ALO,Aston Martin,10.666666666666666,5.333333333333333,1.0,96.473,96.78,95.02,41.8375,39.3448125,37.890066666,115.374846153,95.388,18.0,17.0,3.0,3.0
ANT,Mercedes,7.0,16.0,38.0,94.363,93.662,92.797,40.447473684,41.956869565,38.213565217,107.108230769,91.835,2.0,1.0,267.0,468.0
BEA,Haas F1 Team,12.0,6.0,0.0,96.757,95.203,94.481,42.15073913,42.548076923,37.689153846,110.690941176,,,16.0,18.0,21.0
BOR,Audi,8.0,4.0,2.0,95.652,95.17,94.288,40.899090909,41.331833333,38.753833333,111.14717647,93.388,12.0,13.0,10.0,16.0
BOT,Cadillac,12.333333333333334,6.166666666666667,0.0,98.818,97.727,96.67,40.184142857,42.835956521,39.632347826,115.595235294,98.011,20.0,18.0,0.0,0.0
COL,Alpine,7.666666666666667,4.833333333333334,4.5,95.933,95.886,94.346,42.494578947,43.962272727,37.597333333,106.143785714,92.903,9.0,7.0,21.0,62.0
GAS,Alpine,6.0,6.0,4.5,95.757,94.959,94.971,39.225647058,42.24915,38.78465,106.171846153,93.753,14.0,12.0,41.0,62.0
HAM,Ferrari,7.333333333333333,7.666666666666666,15.0,94.62,93.811,94.284,41.7212,43.010045454,38.399227272,108.232214285,92.013,4.0,22.0,191.0,346.0
HUL,Audi,8.0,4.0,2.0,95.529,95.06,93.933,41.692526315,42.100727272,38.92940909,111.678142857,93.223,11.0,10.0,6.0,16.0
LAW,Racing Bulls,9.0,4.5,2.5,95.539,94.938,93.902,44.354294117,43.01595,39.2398,115.643916666,92.316,8.0,6.0,51.0,75.0
LEC,Ferrari,12.333333333333334,6.166666666666667,15.0,94.536,93.775,92.963,39.386227272,40.70752,37.14716,113.1985,92.019,5.0,4.0,155.0,346.0
LIN,Racing Bulls,6.666666666666667,5.333333333333334,2.5,95.033,93.89,94.505,43.131846153,45.1945,38.987214285,97.334833333,93.041,10.0,9.0,29.0,75.0
NOR,McLaren,10.0,11.0,27.5,94.947,,93.033,32.449,40.8465,44.3175,120.105,91.824,1.0,3.0,171.0,287.0
OCO,Haas F1 Team,11.666666666666666,5.833333333333333,0.0,95.834,94.867,94.43,39.92,41.262923076,39.199884615,110.830277777,93.667,13.0,11.0,3.0,21.0
PER,Cadillac,11.0,5.5,0.0,98.15,97.195,96.441,42.012714285,44.47975,39.967608695,110.003857142,95.913,19.0,20.0,0.0,0.0
PIA,McLaren,6.333333333333333,8.166666666666666,27.5,95.148,94.2,92.986,38.672238095,43.736541666,38.737565217,115.187882352,92.294,7.0,8.0,116.0,287.0
RUS,Mercedes,6.666666666666667,12.333333333333334,38.0,94.077,93.999,93.499,43.684454545,43.102958333,37.698583333,108.9863125,92.149,6.0,5.0,201.0,468.0
SAI,Williams,9.666666666666666,4.833333333333333,0.0,96.87,96.291,95.464,43.57290909,42.5664,38.816,112.324625,95.312,17.0,19.0,6.0,11.0
STR,Aston Martin,13.333333333333334,6.666666666666667,1.0,97.254,97.273,95.57,36.363,43.3315,38.297842105,114.529214285,,,21.0,0.0,3.0
TSU,,7.0,4.0,,96.939,94.758,94.565,42.1925,43.86364,38.76272,111.25575,94.084,15.0,14.0,1.0,
VER,Red Bull Racing,8.333333333333334,11.666666666666668,10.5,94.703,94.063,93.172,39.876526315,41.732636363,37.480363636,107.286533333,91.964,3.0,2.0,127.0,204.0
