index,Driver,FP1_BestTime(s),FP2_BestTime(s),FP3_BestTime(s),LongRun(s),Sector1Time(s),Sector2Time(s),Sector3Time(s),Average_LapTime(s),Longest_Stint,Tyre,Starting_Grid_Position,Season_Points,Season_Average_Finish,Team,Constructor_Position,Driver_DNF_Rate,Team_DNF_Rate,Team_Average_Finish,Rolling_Team_Performance,Qualifying_Time(s),Final_Standing,Season,Round
0,ALB,85.23,84.675,84.328,,33.1675,25.203825,39.250783783,97.078648648,18,MEDIUM,,,,,,,,,,,,2019,1
1,BOT,83.866,82.648,83.422,87.575,33.798939393,26.277636363,40.463333333,100.431633333,10,SOFT,,,,,,,,,,,,2019,1
2,GAS,84.932,83.442,83.367,,33.680612903,25.113838709,37.597892857,95.982035714,10,MEDIUM,,,,,,,,,,,,2019,1
3,GIO,85.166,84.293,83.831,,32.291675675,24.758351351,37.533029411,94.05067647,14,HARD,,,,,,,,,,,,2019,1
4,GRO,85.224,83.814,83.112,,32.547648648,25.348027027,37.522323529,94.92567647,15,SOFT,,,,,,,,,,,,2019,1
5,HAM,83.599,82.6,82.292,88.062,34.48530303,25.939848484,40.0887,100.8993,12,SOFT,,,,,,,,,,,,2019,1
6,HUL,85.015,83.574,83.737,,32.27727027,24.883216216,37.047970588,93.818529411,22,SOFT,,,,,,,,,,,,2019,1
7,KUB,87.914,86.655,86.589,,33.895727272,25.786090909,39.058333333,98.592966666,14,HARD,,,,,,,,,,,,2019,1
8,KVY,84.832,83.933,83.442,87.914,32.841888888,25.127388888,38.546818181,96.040575757,14,SOFT,,,,,,,,,,,,2019,1
9,LEC,83.673,83.754,82.749,,35.863314285,25.151457142,38.77253125,96.387875,14,HARD,,,,,,,,,,,,2019,1
10,MAG,84.934,83.988,83.334,,33.831185185,25.528851851,38.682043478,98.20747826,12,SOFT,,,,,,,,,,,,2019,1
11,NOR,85.966,84.733,84.568,,34.226730769,26.032538461,38.058090909,98.124727272,7,MEDIUM,,,,,,,,,,,,2019,1
12,PER,85.498,84.401,84.082,,32.562529411,25.533323529,37.909838709,95.218290322,12,HARD,,,,,,,,,,,,2019,1
13,RAI,84.816,83.572,84.402,,31.872025,24.562225,37.156972972,93.374135135,13,MEDIUM,,,,,,,,,,,,2019,1
14,RIC,85.634,83.644,83.695,,33.990645161,25.245612903,38.243428571,97.262964285,11,MEDIUM,,,,,,,,,,,,2019,1
