Driver,Qualifying_Time(s),Starting_Pos,Race_Result,fp_avg,fp_std,quali_vs_fp,stint_efficiency,soft_risk
ALB,80.941,15.0,12.0,82.21366666666665,0.7988255963183268,-1.2726666666666517,9.127175324636363,0.0
ANT,78.811,2.0,2.0,80.54766666666667,0.742221215900852,-1.7366666666666646,6.377671794866667,0.0
BEA,80.311,12.0,7.0,81.59533333333333,0.9801578104230628,-1.284333333333322,6.80485,0.0
BOR,80.221,10.0,9.0,81.27433333333333,0.7062381562428728,-1.0533333333333275,11.061020202,0.0
BOT,83.244,19.0,19.0,83.73200000000001,0.261541583691777,-0.48800000000001376,6.766690666666666,0.0
COL,81.27,16.0,14.0,82.45233333333334,0.9668346980396075,-1.1823333333333466,9.219847107363636,0.0
GAS,80.501,14.0,10.0,82.42433333333334,1.4986625148222432,-1.923333333333332,9.004573426545456,0.0
HAD,79.303,3.0,20.0,80.72166666666668,0.5115714352202777,-1.418666666666681,7.617555183923077,0.0
HAM,79.478,7.0,4.0,80.15166666666666,0.5407164999640177,-0.6736666666666622,7.686153846153847,0.0
HUL,80.303,11.0,22.0,81.46233333333333,0.4611912112490146,-1.1593333333333362,9.3962482758,0.0
LAW,79.994,8.0,13.0,81.62033333333333,0.8909524865745263,-1.626333333333335,6.974842857142858,0.0
LEC,79.327,4.0,3.0,80.12833333333333,0.2612380778778867,-0.8013333333333321,9.948636,0.0
LIN,81.247,9.0,8.0,81.02433333333333,0.2534962195641889,0.2226666666666688,6.738019753066666,19.88
NOR,79.475,6.0,5.0,81.87599999999999,2.1851130405542,-2.4009999999999962,5.764752604125,19.88
OCO,80.491,13.0,11.0,81.441,0.6311925221356782,-0.9500000000000028,10.2046375,0.0
PER,82.605,18.0,16.0,83.40063157894737,1.9221211109336955,-0.7956315789473649,59.403,19.88
PIA,79.38,5.0,21.0,80.38600000000001,0.8470495853254392,-1.0060000000000144,9.6971181818,0.0
RUS,78.518,1.0,1.0,80.15766666666667,1.1628144019289277,-1.6396666666666704,7.780064102538462,0.0
SAI,83.244,20.0,15.0,81.82026315789473,0.8108996611096823,1.4237368421052707,14.623301587285713,0.0
VER,83.244,20.0,6.0,80.45066666666666,0.3049464433852823,2.7933333333333366,18.772460000000002,0.0
